date,SWC,NDWI_s2,NDWI_anom,VPD,LE,EF,ET,GWS_cm,group_le,group
2018-06-28,7.136574,-0.1036149380287824,0.00025008034742869667,16.883715,6.618547,,0.0097293578161469,1.5644272461540405,deep_access,deep_access
2018-06-29,7.271284,-0.1036149380287824,0.00025008034742869667,13.96378,9.217193,,0.0135380108746695,1.5244902296168732,deep_access,deep_access
2019-03-02,13.2632,0.20053555799812706,0.20233250319129867,10.492669,7.756677,,0.0113222386570976,-0.8824747624452537,deep_access,wet_deep
2019-03-07,14.02552,0.2709413369713506,0.27273828216452217,6.2314186,16.96645,,0.0246187213498389,-1.156310164903669,deep_access,wet_deep
2019-03-08,13.08206,0.21380722554563658,0.2156041707388082,5.629434,8.055475,,0.0116768296365731,-1.211077245395352,deep_access,wet_deep
2019-03-11,13.34186,0.16945888675943374,0.17125583195260535,8.741501,5.797077,,0.0084726231200008,-1.375378486870401,deep_access,wet_deep
2019-03-13,12.81077,0.17394266369834835,0.17573960889151996,8.832604,16.04829,,0.0234383019741307,-1.4849126478537673,deep_access,wet_deep
2019-03-14,11.61093,0.17394266369834835,0.17573960889151996,9.65132,4.387584,,0.0063611964377981,-1.5396797283454504,deep_access,wet_deep
2019-03-15,12.26535,0.17263754463160624,0.17443448982477786,13.213004,5.457529,,0.0079390355458557,-1.5944468088371335,deep_access,wet_deep
2019-03-16,12.10959,0.17315993964879095,0.17495688484196256,13.907413,7.758433,,0.0113184044699221,-1.6492138893288164,deep_access,wet_deep
2019-03-17,11.85205,0.17379042697510488,0.1755873721682765,13.65606,9.961744,,0.0145374040342989,-1.687013586807878,deep_access,wet_deep
2019-03-18,11.56041,0.11753106154632109,0.11932800673949269,4.8782654,5.224684,,0.0076170642277627,-1.6700462037952564,deep_access,wet_deep
2019-03-21,10.82663,0.11753106154632109,0.11932800673949269,5.7938786,3.992999,,0.0057909485889423,-1.6191440547573916,deep_access,wet_deep
2019-03-22,10.31965,0.0627671541057367,0.0645640992989083,6.0463657,2.623643,,0.0037920476768419,-1.60217667174477,deep_access,wet_deep
2019-04-18,13.5845,0.0875486381322957,0.0477759108595685,2.1278422,5.268478,,0.0076746488214198,-1.1579303826832918,deep_access,wet_deep
2019-05-13,13.90342,-0.11843593833254179,-0.08321344687438614,9.626044,9.94134,,0.0145238185871216,-0.9071589608590505,deep_access,wet_shallow
2019-05-14,13.14167,-0.1091895929227141,-0.07396710146455845,12.345941,12.84434,,0.018732463087754,-0.8971281039860808,deep_access,wet_shallow
2019-05-15,12.47833,-0.10140674448907624,-0.0661842530309206,17.401487,17.07395,,0.0249557634225156,-0.8870972471131111,deep_access,wet_shallow
2019-05-17,11.32206,-0.0984175993824778,-0.06319510792432215,11.109501,28.16682,,0.0413431441901578,-0.9235600845951907,deep_access,wet_shallow
2019-05-18,11.02849,-0.0984175993824778,-0.06319510792432215,10.1371975,3.410687,,0.0049696816579753,-0.9800846358232094,deep_access,wet_shallow
2019-05-20,10.56987,-0.0984175993824778,-0.06319510792432215,12.424423,5.172876,,0.0075222897832182,-1.093133738279247,deep_access,wet_shallow
2019-05-22,10.49455,-0.1922709010904917,-0.15704840963233604,11.158723,6.961224,,0.0101427310864,-1.2061828407352846,deep_access,wet_shallow
2019-05-23,10.35977,-0.1922709010904917,-0.15704840963233604,14.958363,11.73882,,0.0171753468517843,-1.2627073919633032,deep_access,wet_shallow
2019-05-24,10.04982,-0.1922709010904917,-0.15704840963233604,7.552408,17.16224,,0.0251749105204482,-1.319231943191322,deep_access,true_drought
2019-05-26,10.95122,-0.19383879982754249,-0.15861630836938684,13.066017,11.83601,,0.0172766188301751,-1.4322810456473594,deep_access,wet_shallow
2019-05-30,8.760136,-0.18325642249200058,-0.14803393103384493,13.2286415,4.895707,,0.007140482210726,-1.6583792505594346,deep_access,true_drought
2019-06-01,7.97167,-0.14998481248621676,-0.04611979411000566,18.051529,5.484199,,0.0080152730588461,-1.7714283530154722,deep_access,true_drought
2019-06-02,7.631494,-0.14998481248621676,-0.04611979411000566,20.983725,3.1462,,0.0045994535714401,-1.827952904243491,deep_access,true_drought
2019-06-03,7.272318,-0.12897423377740344,-0.025109215401192347,20.643778,8.883741,,0.013026294392963,-1.8844774554715098,deep_access,true_drought
2019-06-04,7.076834,-0.1532527052232947,-0.04938768684708361,22.35758,5.289809,,0.0077667225278568,-1.9410020066995282,deep_access,true_drought
2019-06-06,6.55627,-0.2005278810042848,-0.09666286262807372,15.737166,3.614559,,0.0052810008096574,-2.0540511091555658,deep_access,true_drought
2019-06-10,6.112585,-0.19792362118115225,-0.09405860280494116,20.360271,9.096929,,0.0133421541327177,-2.280149314067641,deep_access,true_drought
2019-06-11,5.864365,-0.2014630364305841,-0.09759801805437301,16.177332,2.587159,,0.0037938622167874,-2.33667386529566,deep_access,true_drought
2019-06-15,12.78783,-0.1963610177709847,-0.0924959993947736,18.573927,20.35951,,0.0298024127621283,-2.5627720702077346,deep_access,wet_shallow
2019-06-16,11.20444,-0.21422502828105083,-0.11036000990483974,13.2033415,2.964558,,0.0043286363695358,-2.6192966214357534,deep_access,wet_shallow
2019-06-17,10.18126,-0.21422502828105083,-0.11036000990483974,18.801706,4.302904,,0.0062983843837177,-2.6528118455317227,deep_access,true_drought
2019-06-18,8.91861,-0.23450863355225193,-0.13064361517604084,20.266119,7.299229,,0.0107019015801633,-2.6863270696276915,deep_access,true_drought
2019-06-20,7.002535,-0.214045509804363,-0.1101804914281519,20.586308,11.25292,,0.016552333477703,-2.7533575178196297,deep_access,true_drought
2019-06-22,6.227836,-0.2210172757738782,-0.1171522573976671,14.882152,2.86859,,0.0042061060058927,-2.820387966011568,deep_access,true_drought
2019-06-24,5.532314,-0.18192964974574166,-0.07806463136953057,20.429148,4.311736,,0.0063275515557528,-2.887418414203506,deep_access,true_drought
2019-06-29,4.655494,-0.1401615483316658,-0.03629652995545471,32.116028,3.324651,,0.0048976535035402,-3.0549945346833516,deep_access,true_drought
2019-06-30,4.435318,-0.13211635978369035,-0.028251341407479258,31.954523,6.728219,,0.0099187869242761,-3.0885097587793204,deep_access,true_drought
2020-06-01,14.04199,0.079136690647482,0.1830017090236931,14.2369,11.33235,,0.0165923646537324,-0.5158206389432339,deep_access,wet_deep
2020-06-02,13.54285,0.079136690647482,0.1830017090236931,16.086332,21.62902,,0.0316926776454498,-0.5745649781193117,deep_access,wet_deep
2020-06-03,13.0852,0.079136690647482,0.1830017090236931,15.766292,20.45238,,0.0299772643901199,-0.6333093172953895,deep_access,wet_deep
2020-06-04,12.6719,0.014785824587346098,0.11865084296355718,7.7396283,19.05508,,0.0280143374913473,-0.6920536564714675,deep_access,wet_deep
2020-06-06,13.00889,-0.0495650414727898,0.054299976903421296,15.56303,21.88618,,0.0320968859315542,-0.8095423348236231,deep_access,wet_deep
2020-06-07,12.48918,-0.0495650414727898,0.054299976903421296,12.289031,21.70396,,0.0319071871179247,-0.8682866739997009,deep_access,wet_deep
2020-06-08,12.10951,-0.0495650414727898,0.054299976903421296,8.78163,12.36857,,0.0180837181420986,-0.9270310131757787,deep_access,wet_deep
2020-06-09,12.07749,-0.05026795762959875,0.05359706074661234,10.6288185,3.975884,,0.0058008369828737,-0.9857753523518565,deep_access,wet_deep
2020-06-11,11.50613,-0.07075906873399984,0.03310594964221125,16.565931,7.385849,,0.0108291877943106,-1.1032640307040125,deep_access,wet_deep
2020-06-12,11.11824,-0.090547263681592,0.0133177546946191,13.029869,4.576228,,0.0067046948351075,-1.1620083698800903,deep_access,wet_deep
2020-06-13,10.87397,-0.0918986806117675,0.0119663377644436,14.749573,11.41923,,0.0167049974521454,-1.220752709056168,deep_access,wet_deep
2020-06-14,10.56149,-0.09335675608804464,0.010508262288166453,17.91611,9.026697,,0.0132095266317649,-1.2794970482322459,deep_access,wet_deep
2020-06-15,10.22233,-0.1038650183762111,0.0,19.801512,8.632816,,0.0126350071655516,-1.3382413874083237,deep_access,true_drought
2020-06-16,9.837631,-0.1038650183762111,0.0,17.482336,8.362205,,0.0122935737930392,-1.3969857265844017,deep_access,true_drought
2020-06-17,9.618221,-0.1038650183762111,0.0,15.582059,6.697215,,0.0098299446285267,-1.434857989294532,deep_access,true_drought
2020-06-20,9.067181,-0.1208552516818751,-0.016990233305664,21.041004,2.942087,,0.0043151900693917,-1.5484747774249221,deep_access,true_drought
2020-06-21,8.723031,-0.1208552516818751,-0.016990233305664,26.95163,4.071219,,0.0059938984581333,-1.5863470401350523,deep_access,true_drought
2020-06-24,7.830279,-0.1120195659230617,-0.008154547546850605,17.765917,2.814942,,0.00413334964845,-1.6999638282654428,deep_access,true_drought
