date,site,SWC,LE,H,G,Rn,EF,VPD_ec,ET,VPD,NDWI_s2,NDWI_anom,GWS_cm,group_le,group
2021-06-10,Tarazona,18.70645161290322,161.5853818181818,-42.70469090909091,-30.01313409884261,44.12204322531689,1.5,1965.214545454545,0.2398309090909091,15.131271,0.1119473587447595,-0.03284128264190486,-2.5999338442161837,wet_inactive,wet_shallow
2021-06-11,Tarazona,17.97471264367816,252.7060482142857,14.06532482142857,46.8231422689484,334.4695584777389,0.878530146646628,1586.354428571429,0.3730086981818182,16.597591,0.1119473587447595,-0.03284128264190486,-2.5828608212350286,wet_active,wet_shallow
2021-06-12,Tarazona,16.86060606060606,150.6318416666667,1.067734166666667,-22.25928661309522,85.24036682499086,1.4012309514413681,1596.369166666667,0.222617825,14.898266,0.1170087976539589,-0.027779843732705464,-2.5657877982538735,wet_inactive,wet_shallow
2021-06-13,Tarazona,16.63749999999998,235.9961927272727,30.66067472727273,47.143673154899,347.1335960341449,0.7866804006688837,1553.970874545455,0.3559486037037037,18.287334,0.09288223127550979,-0.05190641011115457,-2.548714775272718,wet_active,wet_shallow
2021-06-14,Tarazona,16.33421052631578,192.923518125,-31.75772058823529,-12.03254125767972,146.3816412941988,1.2178424621912884,1676.762352941176,0.3489177252941176,18.554903,0.0687556648970607,-0.07603297648960367,-2.531641752291563,wet_active,wet_shallow
2021-06-15,Tarazona,15.97735849056603,183.1671166666667,0.7474027777777779,14.91955666111109,191.8982906379944,1.034966815225335,1621.056111111111,0.2714641944444444,20.041918,0.0687556648970607,-0.07603297648960367,-2.5145687293104078,wet_inactive,wet_shallow
2021-06-16,Tarazona,15.337974683544289,173.0439180434782,-12.95722956862745,12.3761985862451,168.832964545409,1.1060174801813532,790.1336333333334,0.2550275152173913,14.089207,0.0687556648970607,-0.07603297648960367,-2.4974957063292527,wet_inactive,wet_shallow
2021-06-17,Tarazona,30.31090909090909,303.0841363636364,81.324095,7.006257165909126,360.8396265172736,0.8565730725715331,929.6210303030304,0.4457449363636364,8.553505,0.0687556648970607,-0.07603297648960367,-2.5862023321408043,wet_active,wet_shallow
2021-06-18,Tarazona,26.322916666666668,163.8844021818182,-0.0449674363636366,17.85129380447097,220.3057731491016,0.8094876572369828,601.310166,0.2404430740740741,10.131579,0.0687556648970607,-0.07603297648960367,-2.674908957952356,wet_inactive,wet_shallow
2021-06-19,Tarazona,22.90937499999999,149.5342115384615,14.27231075636364,19.77469642886868,216.3697796459295,0.7606203018483461,467.2901142857143,0.2232980941176471,7.470444,0.0721629732666774,-0.07262566811998697,-2.7636155837639076,wet_inactive,wet_shallow
2021-06-20,Tarazona,20.284374999999997,210.4976053571428,41.26402,26.04553132525793,274.4456875424083,0.8474133372650808,825.6809464285715,0.3049230018181818,10.7404175,0.0755702816362941,-0.06921835975037026,-2.8523222095754592,wet_active,wet_shallow
2021-06-21,Tarazona,18.341666666666658,201.081777962963,83.43747925925926,37.72461365422838,337.2268861554284,0.6713864849294502,989.4555326530613,0.300302300754717,11.831977,0.0755702816362941,-0.06921835975037026,-2.9410288353870104,wet_active,wet_shallow
2021-06-22,Tarazona,17.19166666666667,197.5090478947369,59.3975298245614,46.4639861572612,318.4050480741496,0.7262935817875873,1471.472722222222,0.2960943357142857,12.128829,0.0755702816362941,-0.06921835975037026,-3.0297354611985625,wet_active,wet_shallow
2021-06-23,Tarazona,16.485416666666662,180.2923089285714,78.76562460714285,44.42931608343252,333.0254658385093,0.6247218096346062,1155.357378846154,0.2704777332727273,10.702953,0.0755702816362941,-0.06921835975037026,-3.1184420870101137,wet_inactive,wet_shallow
2021-06-24,Tarazona,16.15104166666666,176.4660464285714,71.112049,50.7160386343254,352.9095142165562,0.583950550515948,1364.561589285714,0.26077114,12.528293,0.0755702816362941,-0.06921835975037026,-3.2071487128216654,wet_inactive,wet_shallow
2021-06-25,Tarazona,15.71979166666667,174.6958722222222,63.00197888888889,52.49692445534978,334.9326492916007,0.618533198388789,1670.361203703704,0.2584270740740741,16.203098,0.0908510000157246,-0.05393764137093976,-3.295855338633217,wet_inactive,wet_shallow
2021-06-26,Tarazona,15.529166666666661,207.6454843636364,15.25041523636364,47.06415063186868,310.9410952934533,0.7869027156955163,1867.761576363636,0.3077066638181818,20.769949,0.0908510000157246,-0.05393764137093976,-3.3845619644447686,wet_active,wet_shallow
2021-06-27,Tarazona,15.27916666666666,239.2726463392857,27.07960392857143,51.98462916552579,338.9872940915497,0.8336948592479418,1800.734839285714,0.3575918037735849,23.264788,0.1061317183951551,-0.03865692299150926,-3.4732685902563203,wet_active,wet_shallow
2021-06-28,Tarazona,14.74895833333332,211.0301857142857,72.4750875,43.48931315631449,344.733940107444,0.7005276338041402,1529.289375,0.3117420678571429,21.441208,0.10506687882541335,-0.03972176256125101,-3.561975216067872,wet_active,wet_shallow
2021-06-29,Tarazona,14.33437500000001,205.4158547272727,65.55492072727273,57.4920843171717,342.8705175306838,0.7198016066392317,2396.138854545455,0.3029033955555556,20.718904,0.1040020392556716,-0.04078660213099276,-3.6506818418794236,wet_active,wet_shallow
2021-06-30,Tarazona,14.149999999999999,169.8052905357143,70.90788803571428,55.38703824851191,349.4309560585104,0.5774827508774961,2354.173571153846,0.2519492360714286,17.088465,0.11205603185277466,-0.032732609533889706,-3.7393884676909748,wet_inactive,wet_shallow
2021-07-01,Tarazona,13.896874999999989,220.0803210909091,45.62943014545455,54.31162514828282,346.1885179792075,0.7540176235136054,2397.627350980392,0.3322996773584906,22.676245,0.11205603185277466,-0.0011088159784972407,-3.828095093502527,deep_access,wet_shallow
2021-07-02,Tarazona,13.67187499999999,276.3900997592593,-7.097541388888889,50.08626924641415,335.7581830139171,0.9675088324720721,3246.901326923077,0.4248801636346154,28.759657,0.1201100244498777,0.006945176618605803,-3.916801719314078,deep_access,deep_access
2021-07-03,Tarazona,13.44583333333332,278.5555454545454,-15.41332945454545,47.40595233030304,318.227344072807,1.0285581344305144,2452.856727272727,0.409161262962963,27.196806,0.11142224963868785,-0.001742598192584044,-4.00550834512563,deep_access,true_drought
