date,LE_Wm2,H_Wm2,G_Wm2,Rn_Wm2,Ta_30min_mean,VPD_30min_mean_kPa,SWC_30min_mean,n_LE_ok,n_H_ok,n_total,EBR,qc_frac
2018-11-18,,,,14.819039018749999,10.211991,0.5872415717391305,25.657777916666664,7,10,48,,0.14583333333333334
2018-11-19,,,,22.428266068750002,9.193742,0.5342171289473685,27.28792270833333,12,15,48,,0.25
2018-11-20,,,,2.164508062499999,9.3186163125,0.6576826825000001,26.5598375,22,24,48,,0.4583333333333333
2018-11-21,,,,2.823319916666666,9.254571,0.7484794833333333,25.953925416666667,19,22,48,,0.3958333333333333
2018-11-22,,,,12.4808199375,8.445510375,0.65516125625,24.76188625,15,18,48,,0.3125
2018-11-23,,,,-0.07368681250000038,8.414249645833333,0.6131881895833333,24.011332083333333,18,21,48,,0.375
2018-11-24,,,,23.665839416666667,5.093101158333334,0.6099536020833334,22.608367291666667,14,14,48,,0.2916666666666667
2018-11-25,,,,41.95706766666667,9.524382354166667,0.7705480875,22.480095416666668,12,12,48,,0.25
2018-11-26,,,,1.2929348541666663,8.722369791666667,0.7653072008333333,21.278232083333332,9,11,48,,0.1875
2018-11-27,,,,14.431950083333335,6.552335395833333,0.7065939083333334,20.65774083333333,23,24,48,,0.4791666666666667
2018-11-28,,,,20.967976916666668,5.317251339583334,0.6747323333333333,20.200656875,10,10,48,,0.20833333333333334
2018-11-29,,,,24.699591458333334,5.896869702083333,0.8802850958333333,19.68488770833333,8,9,48,,0.16666666666666666
2018-11-30,,,,30.60087333125,7.536324520833333,0.5892802155555557,20.072876875000002,17,22,48,,0.3541666666666667
2018-12-01,,,,18.583934,6.343190395833333,0.7103473708333333,19.59617666666667,17,21,48,,0.3541666666666667
2018-12-02,,,,15.253331041666668,7.235700770833334,0.6891540520833334,19.64592625,11,19,48,,0.22916666666666666
2018-12-03,,,,18.8592696875,5.269307770833334,0.5666727326086958,19.279761458333333,6,8,48,,0.125
2018-12-04,,,,29.77231185416667,9.071152166666666,0.9209509170212765,19.639846875,7,7,48,,0.14583333333333334
2018-12-05,,,,26.80861479166667,10.565449895833334,0.9694510375000001,19.518038333333333,7,7,48,,0.14583333333333334
2018-12-06,,,,25.214157229166663,9.595749666666666,0.8385009854166666,19.103785,9,9,48,,0.1875
2018-12-07,,,,22.033534875,8.22606950625,1.1534597872340424,18.64968875,7,10,48,,0.14583333333333334
