i,vshare_sp,vshare_au,delta_h,db_h,dw_h,s_h,delta_le,db_le,dw_le,s_le,csv_sig_h,csv_sig_le,csv_delta_h,csv_delta_le,csv_p_h,csv_p_le
56,0.24255194600188745,0.2611859132206113,0.026366880719945043,0.019549277436542806,0.006817603283402224,0.7414330744764549,-0.061362871832984146,-0.009689439101180962,-0.051673432731803165,0.15790393786577372,0.0,0.0,0.026367,-0.061363,0.383808,0.050475
57,0.24203335528255304,0.2089165609885765,-0.010715960325923868,-0.01065997759257761,-5.598273334622792e-05,0.9947757614209531,-0.0018571369427082733,0.007140971227267496,-0.008998108169975795,0.44246459488186435,0.0,0.0,-0.010716,-0.001857,0.751124,0.95952
58,0.3487020917607407,0.25481419065069866,-0.04642264931579413,0.004211622154221649,-0.050634271470015806,0.07679010908412755,0.013342765289754453,-0.00040446242456828024,0.013747227714322715,0.028580503148295768,0.0,0.0,-0.046423,0.013343,0.162419,0.675662
59,0.16251138985501237,0.13781166184255975,-0.057326224905935745,0.011762827758211103,-0.06908905266414682,0.1454861370788642,-0.0011445510293088441,-0.008993522139898034,0.007848971110589183,0.5339780759382445,0.0,0.0,-0.057326,-0.001145,0.075462,0.971514
60,0.21670789408558552,0.32178264979895704,-0.028890426284458252,-0.014291805675634511,-0.014598620608823755,0.4946900241248033,0.03330509670587349,0.024612976415859626,0.00869212029001388,0.7390153114769072,0.0,0.0,-0.02889,0.033305,0.377811,0.328336
61,0.1590364190120788,0.29543551386259775,-0.03307065062263968,0.02648122072945297,-0.05955187135209267,0.3078027313531054,-0.034267269889789446,-0.029869540829026413,-0.004397729060763004,0.8716638624872362,0.0,0.0,-0.033071,-0.034267,0.323338,0.301349
62,0.23047449145420618,0.29097974986260333,-0.02284403119491001,-0.006247717375057655,-0.016596313819852326,0.27349452124937335,0.02953256535355118,0.009892432232704796,0.0196401331208464,0.33496691243299875,0.0,0.0,-0.022844,0.029533,0.475762,0.355322
63,0.2548670503778107,0.2541062285163275,-0.012330232750965654,-0.009488626107733935,-0.0028416066432317196,0.769541524428306,-0.014953604479304435,-0.000854696566147858,-0.014098907913156565,0.057156558295409374,0.0,0.0,-0.01233,-0.014954,0.71914,0.638681
64,0.3871980450824294,0.16649727534842865,-0.030134936973398703,0.008531143038422707,-0.03866608001182142,0.18075519039204532,0.041786697046286146,-0.019865870040568258,0.061652567086854404,0.24369787670874538,0.0,0.0,-0.030135,0.041787,0.357821,0.215392
65,0.24566390170639751,0.2483679009502547,-0.09638942153969082,0.005291275871374035,-0.10168069741106486,0.049464132604186334,0.03267018013593993,-0.006883692362846112,0.039553872498786044,0.1482354292986105,1.0,0.0,-0.096389,0.03267,0.003998,0.309345
66,0.22554350607509535,0.22764075144746898,-0.08263357742041517,-0.026388095385739982,-0.056245482034675144,0.31933865396490313,0.04738054315186874,0.026989134764516722,0.02039140838735202,0.5696248495507642,1.0,0.0,-0.082634,0.047381,0.013993,0.149925
67,0.18463605376357772,0.22301025322999204,0.0811200579271516,0.039790254835172734,0.04132980309197888,0.49051068073577614,-0.090451997315116,-0.04198607231480106,-0.04846592500031502,0.46418070978057296,1.0,1.0,0.08112,-0.090452,0.014493,0.006497
68,0.1267317242202349,0.2406895912403617,0.013295353612927406,-0.013999613680249596,0.027294967293177014,0.33901817987349137,-0.0637440890767329,0.012581312262457883,-0.07632540133919073,0.14151138595482382,0.0,0.0,0.013295,-0.063744,0.697651,0.052974
69,0.12958271959618683,0.23057488346079227,-0.05291094687520905,0.009066076101383358,-0.06197702297659238,0.12761374741595355,0.0038691498869510687,-0.011184959770544569,0.015054109657495585,0.4262712060433004,0.0,0.0,-0.052911,0.003869,0.11994,0.910545
70,0.1970002677054993,0.3399101079688242,0.009480605317515468,-0.0100285233692998,0.019509128686815293,0.3395166057968248,-0.044542510095828595,0.0037617078766550745,-0.04830421797248364,0.07224893853908682,0.0,0.0,0.009481,-0.044543,0.768116,0.176412
71,0.2589947308068427,0.3237683828145445,0.011125365628723901,-0.009254754685166932,0.02038012031389088,0.3122926850699107,-0.05691182838663366,0.00022622071235500535,-0.057138049098988744,0.003943582182759177,0.0,0.0,0.011125,-0.056912,0.749125,0.093953
72,0.24515084209214194,0.2513207475389589,0.06474459453808443,0.019055393914721053,0.045689200623363416,0.2943163680407663,-0.11400180401159878,-0.021031862608166762,-0.09296994140343207,0.18448710343238892,0.0,1.0,0.064745,-0.114002,0.050975,0.001499
73,0.3256696866496261,0.3480874968338057,-0.049174124979385114,-0.01184588626086643,-0.03732823871851867,0.24089673717290327,0.04220261299278454,0.005872821743666006,0.036329791249118545,0.13915777548347757,0.0,0.0,-0.049174,0.042203,0.144428,0.204398
74,0.3262868355667331,0.2721091840350957,-0.043115250682943446,0.0025622200377262185,-0.04567747072066963,0.05311435453761234,-0.01113182265263854,-0.008864285564402264,-0.0022675370882362655,0.7963013642066242,0.0,0.0,-0.043115,-0.011132,0.22039,0.757621
75,0.32999344505722616,0.3600609728420218,-0.051974177641287006,-0.004559298417344737,-0.047414879223942274,0.08772237723147623,0.061364131701694836,0.0007431698271579087,0.06062096187453688,0.012110817941181485,0.0,0.0,-0.051974,0.061364,0.110945,0.063468
76,0.20795269621999005,0.25693098688682964,0.05881526404799922,0.0365300033132832,0.022285260734716032,0.6210973274466813,-0.07315547592144417,-0.0305155599240889,-0.042639915997355324,0.41713295607367934,0.0,1.0,0.058815,-0.073155,0.06097,0.023488
77,0.23727648697665618,0.35424989487675784,-0.03341688119957861,0.016507066969549414,-0.04992394816912801,0.24848434026019692,-0.01092331064424261,-0.024425446352830737,0.013502135708588131,0.6440022017031523,0.0,0.0,-0.033417,-0.010923,0.293853,0.738131
78,0.17882709443291986,0.22737232403540997,-0.052013391342310686,-0.002827891545673856,-0.04918549979663685,0.05436852842497669,0.02858134220761306,-0.002392414637563678,0.030973756845176725,0.07170180249182086,0.0,0.0,-0.052013,0.028581,0.109445,0.358821
79,0.23021953774439982,0.2914794448931632,-0.02809250150139655,-0.01873576233148601,-0.009356739169910554,0.666931078763299,-0.04880273286921739,0.008860894539406828,-0.05766362740862423,0.13319741773310234,0.0,0.0,-0.028093,-0.048803,0.405797,0.14043
80,0.22520002194923833,0.26622352185724724,0.009514291681594749,0.004613025813753432,0.004901265867841302,0.48485225891037864,-0.013428954265210454,-0.006411395247166011,-0.007017559018044426,0.47743071579114815,0.0,0.0,0.009514,-0.013429,0.792104,0.702149
81,0.27441693201653605,0.22099520889656357,0.022359130897253787,0.027233617798877313,-0.0048744869016235206,0.8481851561438477,-0.007435540569914919,-0.018206086986545102,0.010770546416630184,0.6283023542876469,0.0,0.0,0.022359,-0.007436,0.502749,0.830585
82,0.3531296854179586,0.3413206676255549,-0.01880301741750308,-0.02142415534900727,0.002621137931504202,0.8909916422758455,-0.009568520448050847,0.01608966762486094,-0.025658188072911755,0.3854010548790736,0.0,0.0,-0.018803,-0.009569,0.558221,0.762619
