i,sig_h,sig_le,delta_h,delta_le,p_h,p_le
224,0,0,-0.005223,-0.012129,0.875562,0.716142
225,1,1,0.080689,-0.093810,0.012494,0.004498
226,0,0,-0.026118,0.029286,0.421289,0.371314
227,0,0,0.038449,-0.053728,0.261369,0.130435
228,0,0,-0.026678,-0.035241,0.403798,0.284858
229,0,0,-0.062627,0.053023,0.059470,0.121439
230,0,0,-0.018248,-0.036860,0.603698,0.281359
231,1,0,-0.090087,0.047438,0.006497,0.160920
232,0,0,0.005543,0.028400,0.868566,0.397301
233,0,0,-0.024253,-0.044644,0.451274,0.171414
234,1,0,-0.084478,0.057356,0.013493,0.098951
235,0,0,0.022543,-0.048387,0.494253,0.136932
236,1,0,-0.065551,-0.001591,0.047976,0.962019
237,0,1,0.020545,-0.079166,0.532734,0.015992
238,0,0,-0.031055,0.023954,0.379810,0.490755
239,0,0,-0.008814,-0.018864,0.785107,0.574213
240,0,1,-0.006759,-0.072890,0.839080,0.040480
241,0,0,-0.010848,-0.043862,0.746627,0.196902
242,0,0,-0.016553,-0.018889,0.610695,0.578211
243,0,0,-0.009336,-0.034927,0.774113,0.297351
244,0,1,0.028747,-0.067982,0.375812,0.048976
245,0,0,-0.030217,0.026917,0.386807,0.426787
246,0,0,-0.010398,-0.018498,0.761619,0.590705
247,0,0,0.024614,-0.025237,0.431284,0.424288
248,0,0,0.014157,-0.051995,0.660670,0.096452
249,0,0,-0.046031,0.026210,0.166917,0.443278
250,0,0,-0.009155,-0.017537,0.785607,0.614193
251,0,0,-0.035795,0.003181,0.305347,0.918541
252,0,0,-0.029207,-0.001245,0.377311,0.966017
253,0,0,0.010942,0.000593,0.738631,0.988006
254,0,0,-0.008195,-0.026436,0.807596,0.430785
255,0,0,-0.043854,0.059097,0.185907,0.076962
256,0,0,0.002010,-0.033162,0.962019,0.328336
257,0,0,0.001326,-0.038451,0.971514,0.253373
258,0,0,0.014878,-0.025357,0.617191,0.429785
259,0,0,-0.052264,0.048809,0.119440,0.135432
260,0,0,0.010183,-0.026631,0.755622,0.414793
261,0,0,-0.052060,0.000864,0.112944,0.984008
262,0,0,-0.014217,-0.025769,0.649675,0.436282
263,0,1,0.061119,-0.082589,0.061969,0.012494
264,0,0,0.032042,-0.007390,0.341329,0.826087
265,0,0,-0.011739,-0.012465,0.719640,0.714143
266,1,0,-0.074708,0.024086,0.023488,0.472764
267,0,0,0.034541,-0.043747,0.298851,0.192904
268,1,0,-0.065746,0.006692,0.046477,0.838581
269,0,1,0.047974,-0.065742,0.147426,0.046977
270,0,0,-0.050212,-0.009856,0.128936,0.745127
271,0,0,0.004350,-0.007074,0.895552,0.822589
272,0,0,0.002358,-0.048050,0.942029,0.139430
273,0,0,0.013058,-0.037668,0.675162,0.235882
274,1,1,0.065539,-0.128368,0.044978,0.001499
275,0,0,0.016546,-0.037462,0.594703,0.246877
276,0,0,0.027704,-0.022617,0.415792,0.518741
277,0,1,0.020962,-0.070875,0.546727,0.037981
278,0,0,-0.033805,-0.049570,0.296852,0.123938
279,0,0,-0.022740,-0.029404,0.479260,0.360820
280,0,0,-0.049476,0.012572,0.139430,0.723638
281,0,0,0.010000,-0.014576,0.757121,0.662669
282,0,1,0.059703,-0.106091,0.076462,0.001499
283,0,0,0.031040,-0.006383,0.387306,0.868066
284,0,0,0.035811,-0.031395,0.245377,0.320340
285,0,0,-0.012478,0.008795,0.706647,0.791604
286,0,0,-0.039149,-0.007703,0.223888,0.822089
287,0,0,-0.062297,0.022644,0.060470,0.490755
288,0,0,-0.021578,-0.007091,0.492754,0.836582
289,0,0,-0.008795,-0.024579,0.794103,0.447276
290,0,0,-0.008915,-0.032061,0.796602,0.342829
291,0,0,-0.016275,0.004158,0.638181,0.895552
292,0,0,0.010400,-0.003094,0.752124,0.931534
293,0,0,-0.008170,-0.017718,0.811094,0.619190
294,0,0,-0.038258,0.006255,0.227886,0.847576
295,0,0,-0.014576,0.014315,0.664168,0.659670
296,0,0,-0.049909,0.012640,0.125437,0.700150
297,1,0,-0.079041,0.047039,0.010995,0.132434
298,0,0,-0.051670,-0.020899,0.123438,0.528736
299,0,1,0.021736,-0.072303,0.510245,0.034983
300,0,0,-0.054503,0.001221,0.078961,0.970515
301,0,1,0.008777,-0.090395,0.770115,0.004998
302,1,1,-0.093121,0.090518,0.006997,0.005497
303,0,0,0.004593,-0.030399,0.877561,0.348826
304,0,0,-0.037665,0.005444,0.251374,0.869565
305,0,0,-0.030809,-0.033274,0.332334,0.299850
306,0,0,-0.027798,0.014012,0.403798,0.673163
307,1,0,-0.072311,0.027456,0.031984,0.409795
308,0,0,-0.000521,0.012590,0.985507,0.678161
309,0,1,-0.039102,0.070457,0.255372,0.034483
310,0,1,0.040288,-0.069356,0.203898,0.031484
311,0,0,-0.029697,-0.000985,0.388306,0.974513
312,0,0,-0.006315,0.026484,0.846577,0.429785
313,0,0,0.007799,-0.045200,0.817591,0.153423
314,0,0,0.048112,-0.058004,0.145427,0.071464
315,0,0,-0.046632,0.024425,0.192904,0.472764
316,0,0,-0.017055,-0.006043,0.593203,0.855072
317,0,0,-0.036354,0.014311,0.287856,0.664168
318,0,0,-0.051236,0.028581,0.120440,0.393803
319,0,0,-0.050201,0.025449,0.140430,0.436782
320,0,0,-0.032117,-0.001975,0.336332,0.953523
321,0,0,-0.023755,0.021243,0.442779,0.497751
322,0,0,-0.025662,0.031089,0.448776,0.359820
323,0,0,-0.058198,0.029692,0.070465,0.375312
324,0,0,0.028329,-0.024398,0.369315,0.436782
325,0,0,0.051447,-0.026757,0.123438,0.432784
326,0,0,-0.059698,-0.001800,0.074463,0.953023
327,0,0,-0.001698,-0.024390,0.962019,0.469265
328,0,0,-0.042137,0.024901,0.208396,0.454273
329,0,0,0.035847,-0.011988,0.306847,0.712644
330,0,0,-0.045637,0.041482,0.190905,0.225387
331,0,0,-0.004994,-0.009559,0.875562,0.765117
332,0,0,-0.008578,-0.003524,0.802599,0.916042
333,0,0,-0.005977,-0.008838,0.846077,0.785607
334,0,0,0.001108,-0.009156,0.975012,0.798601
335,0,0,-0.040422,0.064895,0.252874,0.057471
336,0,0,-0.029433,-0.008037,0.369815,0.821589
337,0,1,-0.012729,-0.072291,0.707146,0.017491
338,0,0,-0.014752,0.028115,0.649175,0.390805
339,0,1,0.014911,-0.069523,0.648676,0.032984
340,0,0,-0.030352,-0.003620,0.365817,0.910545
341,0,0,0.010204,-0.024883,0.772614,0.445777
342,1,0,-0.091585,0.031197,0.002999,0.347326
