date,site,ET_mm_per_day,LE_Wm2,raw_value
2021-06-02,Tarazona,0.825,23.397,6.6
2021-06-10,Tarazona,0.7875,22.333499999999997,6.3
2021-06-18,Tarazona,0.9125,25.8785,7.3
2021-06-26,Tarazona,0.6,17.016,4.8
2021-07-04,Tarazona,0.5875,16.6615,4.7
2021-07-12,Tarazona,0.55,15.598,4.4
2021-07-20,Tarazona,0.525,14.889000000000001,4.2
2021-07-28,Tarazona,0.6125,17.3705,4.9
2021-08-05,Tarazona,0.55,15.598,4.4
2021-08-13,Tarazona,0.475,13.470999999999998,3.8
2021-08-21,Tarazona,0.6875,19.4975,5.5
2021-08-29,Tarazona,1.05,29.778000000000002,8.4
2021-09-06,Tarazona,0.675,19.143,5.4
2021-09-14,Tarazona,0.8,22.688000000000002,6.4
2021-09-22,Tarazona,0.875,24.814999999999998,7.0
2021-09-30,Tarazona,0.6375,18.0795,5.1
2021-10-08,Tarazona,0.6,17.016,4.8
2021-10-16,Tarazona,0.65,18.434,5.2
2021-10-24,Tarazona,0.875,24.814999999999998,7.0
2021-11-01,Tarazona,0.55,15.598,4.4
2021-11-09,Tarazona,0.4625,13.1165,3.7
2021-11-17,Tarazona,0.825,23.397,6.6
2021-11-25,Tarazona,0.8,22.688000000000002,6.4
2021-12-03,Tarazona,0.8,22.688000000000002,6.4
2021-12-11,Tarazona,0.6375,18.0795,5.1
2021-12-19,Tarazona,0.8,22.688000000000002,6.4
2021-12-27,Tarazona,0.375,10.635,3.0
2022-01-01,Tarazona,0.6,17.016,4.8
2022-01-09,Tarazona,0.6375,18.0795,5.1
2022-01-17,Tarazona,0.6625,18.7885,5.3
2022-01-25,Tarazona,0.4375,12.407499999999999,3.5
2022-02-02,Tarazona,0.65,18.434,5.2
2022-02-10,Tarazona,0.7125,20.206500000000002,5.7
2022-02-18,Tarazona,0.55,15.598,4.4
2022-02-26,Tarazona,1.0,28.36,8.0
2022-03-06,Tarazona,0.9875,28.0055,7.9
2022-03-14,Tarazona,0.875,24.814999999999998,7.0
2022-03-22,Tarazona,1.2375,35.0955,9.9
2022-03-30,Tarazona,0.825,23.397,6.6
2022-04-07,Tarazona,1.075,30.487,8.6
2022-04-15,Tarazona,0.9375,26.5875,7.5
2022-04-23,Tarazona,1.175,33.323,9.4
2022-05-01,Tarazona,1.075,30.487,8.6
2022-05-09,Tarazona,1.0125,28.714499999999997,8.1
2022-05-17,Tarazona,1.0,28.36,8.0
2022-05-25,Tarazona,0.9,25.524,7.2
2022-06-02,Tarazona,0.75,21.27,6.0
2022-06-10,Tarazona,0.3375,9.5715,2.7
2022-06-18,Tarazona,0.5125,14.534499999999998,4.1
2022-06-26,Tarazona,0.6125,17.3705,4.9
2022-07-04,Tarazona,0.6375,18.0795,5.1
2022-07-12,Tarazona,0.375,10.635,3.0
2022-07-20,Tarazona,0.4375,12.407499999999999,3.5
2022-07-28,Tarazona,0.5875,16.6615,4.7
2022-08-05,Tarazona,0.4125,11.6985,3.3
2022-08-13,Tarazona,0.425,12.052999999999999,3.4
2022-08-21,Tarazona,0.65,18.434,5.2
2022-08-29,Tarazona,0.7,19.851999999999997,5.6
2022-09-06,Tarazona,0.625,17.725,5.0
2022-09-14,Tarazona,0.975,27.651,7.8
2022-09-22,Tarazona,0.7,19.851999999999997,5.6
2022-09-30,Tarazona,0.575,16.307,4.6
2022-10-08,Tarazona,0.7625,21.624499999999998,6.1
2022-10-16,Tarazona,0.825,23.397,6.6
2022-10-24,Tarazona,0.5625,15.9525,4.5
2022-11-01,Tarazona,0.5375,15.2435,4.3
2022-11-09,Tarazona,0.6875,19.4975,5.5
2022-11-17,Tarazona,0.8125,23.0425,6.5
2022-11-25,Tarazona,0.625,17.725,5.0
2022-12-03,Tarazona,0.8,22.688000000000002,6.4
2022-12-11,Tarazona,0.8625,24.4605,6.9
2022-12-19,Tarazona,0.8375,23.7515,6.7
2022-12-27,Tarazona,0.45,12.762,3.6
2023-01-01,Tarazona,0.7625,21.624499999999998,6.1
2023-01-09,Tarazona,0.7375,20.9155,5.9
2023-01-17,Tarazona,0.6625,18.7885,5.3
2023-01-25,Tarazona,0.725,20.561,5.8
2023-02-02,Tarazona,0.75,21.27,6.0
2023-02-10,Tarazona,0.9125,25.8785,7.3
2023-02-18,Tarazona,0.7875,22.333499999999997,6.3
2023-02-26,Tarazona,0.7,19.851999999999997,5.6
2023-03-06,Tarazona,0.8875,25.1695,7.1
2023-03-14,Tarazona,0.4625,13.1165,3.7
2023-03-22,Tarazona,0.3625,10.2805,2.9
2023-03-30,Tarazona,0.4,11.344000000000001,3.2
2023-04-07,Tarazona,0.55,15.598,4.4
2023-04-15,Tarazona,0.5125,14.534499999999998,4.1
2023-04-23,Tarazona,0.55,15.598,4.4
2023-05-01,Tarazona,0.575,16.307,4.6
2023-05-09,Tarazona,0.575,16.307,4.6
2023-05-17,Tarazona,0.9,25.524,7.2
2023-05-25,Tarazona,1.125,31.905,9.0
2023-06-02,Tarazona,1.2875,36.5135,10.3
2023-06-10,Tarazona,0.875,24.814999999999998,7.0
2023-06-18,Tarazona,1.1125,31.5505,8.9
2023-06-26,Tarazona,0.7125,20.206500000000002,5.7
2023-07-04,Tarazona,0.5625,15.9525,4.5
2023-07-12,Tarazona,0.3125,8.8625,2.5
2023-07-20,Tarazona,0.475,13.470999999999998,3.8
2023-07-28,Tarazona,0.575,16.307,4.6
2023-08-05,Tarazona,0.5,14.18,4.0
2023-08-13,Tarazona,0.3,8.508,2.4
2023-08-21,Tarazona,0.2625,7.444500000000001,2.1
2023-08-29,Tarazona,0.875,24.814999999999998,7.0
2023-09-06,Tarazona,0.7375,20.9155,5.9
2023-09-14,Tarazona,0.8375,23.7515,6.7
2023-09-22,Tarazona,0.65,18.434,5.2
2023-09-30,Tarazona,0.525,14.889000000000001,4.2
2023-10-08,Tarazona,0.575,16.307,4.6
2023-10-16,Tarazona,0.9,25.524,7.2
2023-10-24,Tarazona,0.875,24.814999999999998,7.0
2023-11-01,Tarazona,0.825,23.397,6.6
2023-11-09,Tarazona,0.5875,16.6615,4.7
2023-11-17,Tarazona,0.5,14.18,4.0
2023-11-25,Tarazona,0.7375,20.9155,5.9
2023-12-03,Tarazona,0.825,23.397,6.6
2023-12-11,Tarazona,0.6625,18.7885,5.3
2023-12-19,Tarazona,0.6375,18.0795,5.1
2023-12-27,Tarazona,0.3625,10.2805,2.9
2024-01-01,Tarazona,0.7125,20.206500000000002,5.7
2024-01-09,Tarazona,0.825,23.397,6.6
2024-01-17,Tarazona,0.775,21.979,6.2
2024-01-25,Tarazona,0.5,14.18,4.0
2024-02-02,Tarazona,0.7,19.851999999999997,5.6
2024-02-10,Tarazona,0.7875,22.333499999999997,6.3
2024-02-18,Tarazona,0.675,19.143,5.4
2024-02-26,Tarazona,0.7875,22.333499999999997,6.3
2024-03-05,Tarazona,0.7,19.851999999999997,5.6
2024-03-13,Tarazona,0.6375,18.0795,5.1
2024-03-21,Tarazona,0.9625,27.2965,7.7
2024-03-29,Tarazona,0.7625,21.624499999999998,6.1
