date,site,GPP_mgpp,qflag
2019-01-25,Oran,0.8200000000000001,2.0
2019-01-26,Oran,0.8200000000000001,2.0
2019-01-27,Oran,0.8200000000000001,2.0
2019-01-28,Oran,0.8200000000000001,2.0
2019-01-29,Oran,0.8200000000000001,2.0
2019-01-30,Oran,0.8200000000000001,2.0
2019-01-31,Oran,,
2019-02-01,Oran,1.06,2.0
2019-02-02,Oran,1.06,2.0
2019-02-03,Oran,1.06,2.0
2019-02-04,Oran,1.06,2.0
2019-02-05,Oran,1.06,2.0
2019-02-06,Oran,1.06,2.0
2019-02-07,Oran,1.06,2.0
2019-02-08,Oran,1.06,2.0
2019-02-09,Oran,1.06,2.0
2019-02-10,Oran,1.06,2.0
2019-02-11,Oran,1.0,2.0
2019-02-12,Oran,1.0,2.0
2019-02-13,Oran,1.0,2.0
2019-02-14,Oran,1.0,2.0
2019-02-15,Oran,1.0,2.0
2019-02-16,Oran,1.0,2.0
2019-02-17,Oran,1.0,2.0
2019-02-18,Oran,1.0,2.0
2019-02-19,Oran,1.0,2.0
2019-02-20,Oran,1.0,2.0
2019-02-21,Oran,1.22,1.0
2019-02-22,Oran,1.22,1.0
2019-02-23,Oran,1.22,1.0
2019-02-24,Oran,1.22,1.0
2019-02-25,Oran,1.22,1.0
2019-02-26,Oran,1.22,1.0
2019-02-27,Oran,1.22,1.0
2019-02-28,Oran,1.22,1.0
2019-03-01,Oran,1.15,1.0
2019-03-02,Oran,1.15,1.0
2019-03-03,Oran,1.15,1.0
2019-03-04,Oran,1.15,1.0
2019-03-05,Oran,1.15,1.0
2019-03-06,Oran,1.15,1.0
2019-03-07,Oran,1.15,1.0
2019-03-08,Oran,1.15,1.0
2019-03-09,Oran,1.15,1.0
2019-03-10,Oran,1.15,1.0
2019-03-11,Oran,1.41,2.0
2019-03-12,Oran,1.41,2.0
2019-03-13,Oran,1.41,2.0
2019-03-14,Oran,1.41,2.0
2019-03-15,Oran,1.41,2.0
2019-03-16,Oran,1.41,2.0
2019-03-17,Oran,1.41,2.0
2019-03-18,Oran,1.41,2.0
2019-03-19,Oran,1.41,2.0
2019-03-20,Oran,1.41,2.0
2019-03-21,Oran,1.69,
2019-03-22,Oran,1.69,
2019-03-23,Oran,1.69,
2019-03-24,Oran,1.69,
2019-03-25,Oran,1.69,
2019-03-26,Oran,1.69,
2019-03-27,Oran,1.69,
2019-03-28,Oran,1.69,
2019-03-29,Oran,1.69,
2019-03-30,Oran,1.69,
2019-03-31,Oran,,
2019-04-01,Oran,1.44,
2019-04-02,Oran,1.44,
2019-04-03,Oran,1.44,
2019-04-04,Oran,1.44,
2019-04-05,Oran,1.44,
2019-04-06,Oran,1.44,
2019-04-07,Oran,1.44,
2019-04-08,Oran,1.44,
2019-04-09,Oran,1.44,
2019-04-10,Oran,1.44,
2019-04-11,Oran,1.75,
2019-04-12,Oran,1.75,
2019-04-13,Oran,1.75,
2019-04-14,Oran,1.75,
2019-04-15,Oran,1.75,
2019-04-16,Oran,1.75,
2019-04-17,Oran,1.75,
2019-04-18,Oran,1.75,
2019-04-19,Oran,1.75,
2019-04-20,Oran,1.75,
2019-04-21,Oran,1.93,
2019-04-22,Oran,1.93,
2019-04-23,Oran,1.93,
2019-04-24,Oran,1.93,
2019-04-25,Oran,1.93,
2019-04-26,Oran,1.93,
2019-04-27,Oran,1.93,
2019-04-28,Oran,1.93,
2019-04-29,Oran,1.93,
2019-04-30,Oran,1.93,
2019-05-01,Oran,2.6,
2019-05-02,Oran,2.6,
2019-05-03,Oran,2.6,
2019-05-04,Oran,2.6,
2019-05-05,Oran,2.6,
2019-05-06,Oran,2.6,
2019-05-07,Oran,2.6,
2019-05-08,Oran,2.6,
2019-05-09,Oran,2.6,
2019-05-10,Oran,2.6,
2019-05-11,Oran,2.84,
2019-05-12,Oran,2.84,
2019-05-13,Oran,2.84,
2019-05-14,Oran,2.84,
2019-05-15,Oran,2.84,
2019-05-16,Oran,2.84,
2019-05-17,Oran,2.84,
2019-05-18,Oran,2.84,
2019-05-19,Oran,2.84,
2019-05-20,Oran,2.84,
2019-05-21,Oran,1.84,
2019-05-22,Oran,1.84,
2019-05-23,Oran,1.84,
2019-05-24,Oran,1.84,
2019-05-25,Oran,1.84,
2019-05-26,Oran,1.84,
2019-05-27,Oran,1.84,
2019-05-28,Oran,1.84,
2019-05-29,Oran,1.84,
2019-05-30,Oran,1.84,
2019-05-31,Oran,,
2019-06-01,Oran,,
2019-06-02,Oran,,
2019-06-03,Oran,,
2019-06-04,Oran,,
2019-06-05,Oran,,
2019-06-06,Oran,,
2019-06-07,Oran,,
2019-06-08,Oran,,
2019-06-09,Oran,,
2019-06-10,Oran,,
2019-06-11,Oran,0.78,
2019-06-12,Oran,0.78,
2019-06-13,Oran,0.78,
2019-06-14,Oran,0.78,
2019-06-15,Oran,0.78,
2019-06-16,Oran,0.78,
2019-06-17,Oran,0.78,
2019-06-18,Oran,0.78,
2019-06-19,Oran,0.78,
2019-06-20,Oran,0.78,
2019-06-21,Oran,0.76,
2019-06-22,Oran,0.76,
2019-06-23,Oran,0.76,
2019-06-24,Oran,0.76,
2019-06-25,Oran,0.76,
2019-06-26,Oran,0.76,
2019-06-27,Oran,0.76,
2019-06-28,Oran,0.76,
2019-06-29,Oran,0.76,
2019-06-30,Oran,0.76,
2019-07-01,Oran,0.94,
2019-07-02,Oran,0.94,
2019-07-03,Oran,0.94,
2019-07-04,Oran,0.94,
2019-07-05,Oran,0.94,
2019-07-06,Oran,0.94,
2019-07-07,Oran,0.94,
2019-07-08,Oran,0.94,
2019-07-09,Oran,0.94,
2019-07-10,Oran,0.94,
2019-07-11,Oran,1.12,
2019-07-12,Oran,1.12,
2019-07-13,Oran,1.12,
2019-07-14,Oran,1.12,
2019-07-15,Oran,1.12,
2019-07-16,Oran,1.12,
2019-07-17,Oran,1.12,
2019-07-18,Oran,1.12,
2019-07-19,Oran,1.12,
2019-07-20,Oran,1.12,
2019-07-21,Oran,1.44,
2019-07-22,Oran,1.44,
2019-07-23,Oran,1.44,
2019-07-24,Oran,1.44,
2019-07-25,Oran,1.44,
2019-07-26,Oran,1.44,
2019-07-27,Oran,1.44,
2019-07-28,Oran,1.44,
2019-07-29,Oran,1.44,
2019-07-30,Oran,1.44,
2019-07-31,Oran,,
2019-08-01,Oran,1.65,
2019-08-02,Oran,1.65,
2019-08-03,Oran,1.65,
2019-08-04,Oran,1.65,
2019-08-05,Oran,1.65,
2019-08-06,Oran,1.65,
2019-08-07,Oran,1.65,
2019-08-08,Oran,1.65,
2019-08-09,Oran,1.65,
2019-08-10,Oran,1.65,
2019-08-11,Oran,1.56,
2019-08-12,Oran,1.56,
2019-08-13,Oran,1.56,
2019-08-14,Oran,1.56,
2019-08-15,Oran,1.56,
2019-08-16,Oran,1.56,
2019-08-17,Oran,1.56,
2019-08-18,Oran,1.56,
2019-08-19,Oran,1.56,
2019-08-20,Oran,1.56,
2019-08-21,Oran,1.51,
2019-08-22,Oran,1.51,
2019-08-23,Oran,1.51,
2019-08-24,Oran,1.51,
2019-08-25,Oran,1.51,
2019-08-26,Oran,1.51,
2019-08-27,Oran,1.51,
2019-08-28,Oran,1.51,
2019-08-29,Oran,1.51,
2019-08-30,Oran,1.51,
2019-08-31,Oran,,
2019-09-01,Oran,1.5,
2019-09-02,Oran,1.5,
2019-09-03,Oran,1.5,
2019-09-04,Oran,1.5,
2019-09-05,Oran,1.5,
2019-09-06,Oran,1.5,
2019-09-07,Oran,1.5,
2019-09-08,Oran,1.5,
