date,name,source,variable,value
2018-06-22,TzM,CHIRPS,precipitation,0.0
2018-06-23,TzM,CHIRPS,precipitation,0.0
2018-06-24,TzM,CHIRPS,precipitation,0.0
2018-06-25,TzM,CHIRPS,precipitation,0.0
2018-06-26,TzM,CHIRPS,precipitation,0.0
2018-06-27,TzM,CHIRPS,precipitation,12.03103256225586
2018-06-28,TzM,CHIRPS,precipitation,0.0
2018-06-29,TzM,CHIRPS,precipitation,0.0
2018-06-30,TzM,CHIRPS,precipitation,0.0
2018-07-01,TzM,CHIRPS,precipitation,0.0
2018-07-02,TzM,CHIRPS,precipitation,0.0
2018-07-03,TzM,CHIRPS,precipitation,0.0
2018-07-04,TzM,CHIRPS,precipitation,0.0
2018-07-05,TzM,CHIRPS,precipitation,0.0
2018-07-06,TzM,CHIRPS,precipitation,0.0
2018-07-07,TzM,CHIRPS,precipitation,0.0
2018-07-08,TzM,CHIRPS,precipitation,0.0
2018-07-09,TzM,CHIRPS,precipitation,0.0
2018-07-10,TzM,CHIRPS,precipitation,0.0
2018-07-11,TzM,CHIRPS,precipitation,0.0
2018-07-12,TzM,CHIRPS,precipitation,0.0
2018-07-13,TzM,CHIRPS,precipitation,0.0
2018-07-14,TzM,CHIRPS,precipitation,0.0
2018-07-15,TzM,CHIRPS,precipitation,0.0
2018-07-16,TzM,CHIRPS,precipitation,0.0
2018-07-17,TzM,CHIRPS,precipitation,0.0
2018-07-18,TzM,CHIRPS,precipitation,0.0
2018-07-19,TzM,CHIRPS,precipitation,0.0
2018-07-20,TzM,CHIRPS,precipitation,0.0
2018-07-21,TzM,CHIRPS,precipitation,0.0
2018-07-22,TzM,CHIRPS,precipitation,0.0
2018-07-23,TzM,CHIRPS,precipitation,0.0
2018-07-24,TzM,CHIRPS,precipitation,0.0
2018-07-25,TzM,CHIRPS,precipitation,0.0
2018-07-26,TzM,CHIRPS,precipitation,0.0
2018-07-27,TzM,CHIRPS,precipitation,0.0
2018-07-28,TzM,CHIRPS,precipitation,0.0
2018-07-29,TzM,CHIRPS,precipitation,0.0
2018-07-30,TzM,CHIRPS,precipitation,0.0
2018-07-31,TzM,CHIRPS,precipitation,0.0
2018-08-01,TzM,CHIRPS,precipitation,0.0
2018-08-02,TzM,CHIRPS,precipitation,0.0
2018-08-03,TzM,CHIRPS,precipitation,0.0
2018-08-04,TzM,CHIRPS,precipitation,0.0
2018-08-05,TzM,CHIRPS,precipitation,0.0
2018-08-06,TzM,CHIRPS,precipitation,0.0
2018-08-07,TzM,CHIRPS,precipitation,1.771963119506836
2018-08-08,TzM,CHIRPS,precipitation,0.0
2018-08-09,TzM,CHIRPS,precipitation,0.0
2018-08-10,TzM,CHIRPS,precipitation,1.771963119506836
2018-08-11,TzM,CHIRPS,precipitation,1.2025538682937622
2018-08-12,TzM,CHIRPS,precipitation,2.4051077365875244
2018-08-13,TzM,CHIRPS,precipitation,1.2025538682937622
2018-08-14,TzM,CHIRPS,precipitation,0.0
