date,site,CHIRPS_precipitation,LAI_Fpar,LAI_Lai,LST_LST_Day_1km,MOD16_ET,MOD16_PET,PML_ET,PML_Ec,PML_Ei,PML_Es,PML_V2_long_ET,PML_V2_long_Ec,PML_V2_long_Ei,PML_V2_long_Es,PML_V2_long_GPP,S2_NDMI,S2_NDVI,S2_NDWI
2021-07-05,TzM,0.0,0.25277419354838715,0.5,42.801538461538485,0.5875,7.647372611464968,2.002393162393162,0.825982905982906,0.0,1.176410256410256,,,,,,-0.02146535359338625,0.3261229425363411,-0.483914874922199
2021-07-06,TzM,0.0,0.25277419354838715,0.5,39.59307692307692,0.5875,7.647372611464968,2.002393162393162,0.825982905982906,0.0,1.176410256410256,,,,,,-0.02146535359338625,0.3261229425363411,-0.483914874922199
2021-07-07,TzM,0.0,0.25277419354838715,0.5,33.25000000000006,0.5875,7.647372611464968,2.002393162393162,0.825982905982906,0.0,1.176410256410256,,,,,,-0.009632931067506552,0.33931130647366503,-0.5062410515228255
2021-07-08,TzM,0.0,0.2608387096774194,0.5,41.77384615384619,0.5875,7.647372611464968,2.002393162393162,0.825982905982906,0.0,1.176410256410256,,,,,,-0.009632931067506552,0.33931130647366503,-0.5062410515228255
2021-07-09,TzM,0.0,0.2608387096774194,0.5,38.52999999999997,0.5875,7.647372611464968,2.002393162393162,0.825982905982906,0.0,1.176410256410256,,,,,,-0.01326365854800471,0.31939086694157487,-0.47036153984828705
2021-07-10,TzM,0.0,0.2608387096774194,0.5,40.71923076923082,0.5875,7.647372611464968,2.002393162393162,0.825982905982906,0.0,1.176410256410256,,,,,,-0.01326365854800471,0.31939086694157487,-0.47036153984828705
2021-07-11,TzM,0.0,0.2608387096774194,0.5,36.60615384615386,0.5875,7.647372611464968,2.002393162393162,0.825982905982906,0.0,1.176410256410256,,,,,,-0.01326365854800471,0.31939086694157487,-0.47036153984828705
2021-07-12,TzM,0.0,0.26090322580645164,0.5058064516129032,39.049230769230746,0.569108280254777,7.6813694267515915,1.197222222222222,1.0258974358974358,0.0,0.1713247863247863,,,,,,-0.005225433159779076,0.3237618626184433,-0.4852796551726933
2021-07-13,TzM,0.0,0.26090322580645164,0.5058064516129032,39.144615384615406,0.569108280254777,7.6813694267515915,1.197222222222222,1.0258974358974358,0.0,0.1713247863247863,,,,,,-0.005225433159779076,0.3237618626184433,-0.4852796551726933
2021-07-14,TzM,0.0,0.26090322580645164,0.5058064516129032,38.988461538461536,0.569108280254777,7.6813694267515915,1.197222222222222,1.0258974358974358,0.0,0.1713247863247863,,,,,,0.0071340564608468725,0.34128827389443106,-0.500052104793023
2021-07-15,TzM,0.0,0.26090322580645164,0.5058064516129032,38.84076923076924,0.569108280254777,7.6813694267515915,1.197222222222222,1.0258974358974358,0.0,0.1713247863247863,,,,,,0.0071340564608468725,0.34128827389443106,-0.500052104793023
2021-07-16,TzM,0.0,0.24477419354838714,0.43677419354838715,37.970769230769235,0.569108280254777,7.6813694267515915,1.197222222222222,1.0258974358974358,0.0,0.1713247863247863,,,,,,0.0071340564608468725,0.34128827389443106,-0.500052104793023
2021-07-17,TzM,0.0,0.24477419354838714,0.43677419354838715,44.786923076923074,0.569108280254777,7.6813694267515915,1.197222222222222,1.0258974358974358,0.0,0.1713247863247863,,,,,,-0.0008677175512873806,0.3230617657584464,-0.4764706536061809
2021-07-18,TzM,0.0,0.24477419354838714,0.43677419354838715,42.946153846153834,0.569108280254777,7.6813694267515915,1.197222222222222,1.0258974358974358,0.0,0.1713247863247863,,,,,,-0.0008677175512873806,0.3230617657584464,-0.4764706536061809
2021-07-19,TzM,0.0,0.24477419354838714,0.43677419354838715,44.45538461538467,0.569108280254777,7.6813694267515915,1.197222222222222,1.0258974358974358,0.0,0.1713247863247863,,,,,,0.009448623735945155,0.3326048680554948,-0.47974487196850757
2021-07-20,TzM,0.0,0.2516129032258065,0.4509677419354839,43.83615384615388,0.5421974522292994,7.559792993630573,1.3607692307692305,1.026068376068376,0.0145299145299145,0.3201709401709401,,,,,,0.009448623735945155,0.3326048680554948,-0.47974487196850757
2021-07-21,TzM,0.0,0.2516129032258065,0.4509677419354839,42.47615384615386,0.5421974522292994,7.559792993630573,1.3607692307692305,1.026068376068376,0.0145299145299145,0.3201709401709401,,,,,,0.009448623735945155,0.3326048680554948,-0.47974487196850757
2021-07-22,TzM,0.0,0.2516129032258065,0.4509677419354839,45.46153846153851,0.5421974522292994,7.559792993630573,1.3607692307692305,1.026068376068376,0.0145299145299145,0.3201709401709401,,,,,,0.0032494577498506034,0.3198735587312958,-0.47632557898353034
2021-07-23,TzM,0.0,0.2516129032258065,0.4509677419354839,45.46153846153851,0.5421974522292994,7.559792993630573,1.3607692307692305,1.026068376068376,0.0145299145299145,0.3201709401709401,,,,,,0.0032494577498506034,0.3198735587312958,-0.47632557898353034
