name,date,product,B8,B4,B11,B3
Oran,2023-09-25,S2,2178.1347591790422,1277.3810463077557,3233.838902640263,931.9645472359733
TzM,2023-09-25,S2,2929.290108632855,1258.4271910646924,2841.928391803258,906.6251260209109
Oran,2023-09-27,S2,2258.558787128712,1294.8180048473598,3366.411110251649,940.4164475041251
TzM,2023-09-27,S2,,,,
Oran,2023-09-27,S2,2249.8428991336623,1331.3715578589104,3340.331476897688,995.3268487004946
TzM,2023-09-27,S2,3205.513032544542,1379.2142582041026,3128.170074423135,1038.5072044314047
Oran,2023-09-30,S2,2166.499858188943,1260.7285349628705,3282.916318584982,898.605172235973
TzM,2023-09-30,S2,,,,
Oran,2023-09-30,S2,2164.696898205445,1285.0622163778878,3264.9044838077543,931.8889103754117
TzM,2023-09-30,S2,2959.587971091654,1231.3037415466874,2815.1211499903698,894.2989159369725
Oran,2023-10-02,S2,2333.0696550123744,1335.9567347359732,3406.658570544553,949.0888510726066
TzM,2023-10-02,S2,,,,
Oran,2023-10-02,S2,2323.1038056930684,1363.2143151815173,3381.817153981023,991.6062551567647
TzM,2023-10-02,S2,3193.4696983427543,1345.2666262644566,3090.3194644252876,986.3626570305505
Oran,2023-10-05,S2,2194.5174943275574,1316.5531017945536,3392.329800948842,927.3183271452141
TzM,2023-10-05,S2,,,,
Oran,2023-10-05,S2,2187.5102361798677,1345.1020395008245,3366.3693275577557,974.0524700907583
TzM,2023-10-05,S2,2889.516549802329,1240.4409599111905,2834.631067411275,909.0979791343344
Oran,2023-10-07,S2,2327.384295070131,1390.1065774546203,3515.145395008248,987.2863165222767
TzM,2023-10-07,S2,,,,
Oran,2023-10-07,S2,2317.077274133662,1420.9701294348183,3487.906933271452,1039.1453950082505
TzM,2023-10-07,S2,3066.721757156288,1395.6006524768063,3159.104181062314,1001.53730785351
Oran,2023-10-10,S2,2132.5469523514835,1291.0254228547847,3352.385726072606,896.5053243605606
TzM,2023-10-10,S2,,,,
Oran,2023-10-10,S2,2130.635416666665,1317.228792801155,3326.835151093233,937.6391811056103
TzM,2023-10-10,S2,2828.594427893383,1255.631933982034,2798.0451976121158,879.699214988842
Oran,2023-10-12,S2,2170.962626340759,1326.986502165842,3452.6032255569285,921.3188299298674
TzM,2023-10-12,S2,,,,
Oran,2023-10-12,S2,2167.768280734322,1358.246467615511,3424.9755569306917,972.8713902640262
TzM,2023-10-12,S2,3012.860521754889,1389.0071761120985,3138.4234245970147,989.117462816751
Oran,2023-10-15,S2,1941.03761860561,1220.7919245049504,3263.261680074256,844.3096122112207
TzM,2023-10-15,S2,,,,
Oran,2023-10-15,S2,1944.3133895420783,1252.711530528052,3243.4652820750816,894.0882322607258
TzM,2023-10-15,S2,2527.3979372217614,1118.8788103625998,2594.9021567983314,799.5394091460024
Oran,2023-11-14,S2,1878.5186417079199,1218.8559070750814,3259.6837484529688,837.0664578176566
TzM,2023-11-14,S2,,,,
Oran,2023-11-14,S2,1882.8454001650155,1221.8438531353129,3264.56056621287,836.8021606848183
TzM,2023-11-14,S2,2720.5395847256973,1575.9505658197293,3025.3099944494147,1219.8724328549258
Oran,2023-11-19,S2,1883.4289526608911,1210.3376005569303,3210.2441470709555,837.6150345503298
TzM,2023-11-19,S2,,,,
Oran,2023-11-19,S2,1888.5917001856426,1216.459029496699,3215.2330600247496,842.0700804455442
TzM,2023-11-19,S2,2442.3682699169676,1225.4791003522919,2692.231736879664,803.3935930402474
Oran,2023-11-21,S2,1980.3459931930681,1246.492638716996,3267.6967306105594,851.4439588490095
TzM,2023-11-21,S2,,,,
Oran,2023-11-21,S2,1986.8244121287116,1264.1767610354775,3274.1185540429033,876.7516372731018
TzM,2023-11-21,S2,2693.351431257716,1311.1313675959173,2937.1192356052957,874.1533037302182
Oran,2023-11-24,S2,1886.7383070338276,1224.5599989686461,3252.2574902021424,838.8040815800323
TzM,2023-11-24,S2,,,,
Oran,2023-11-24,S2,1894.4500954001649,1233.3143693275574,3258.8739041872923,846.4618786097358
TzM,2023-11-24,S2,2434.7710214207214,1216.8153411343574,2774.5261557108697,787.5175069948684
Oran,2023-11-26,S2,2077.6468389026404,1340.5439227516492,3448.8814072813516,935.6369765882835
TzM,2023-11-26,S2,,,,
Oran,2023-11-26,S2,2086.243502475247,1366.6413856229365,3431.9168084777216,975.7719807136959
TzM,2023-11-26,S2,2582.417069744787,1397.933687513451,3019.8147294373503,922.0577317368791
Oran,2023-12-06,S2,1942.7941676980195,1283.5897535066003,3238.373968646863,920.6864944306927
TzM,2023-12-06,S2,1700.208379116211,1012.1995831398174,1958.0789712162573,725.5396243727272
Oran,2023-12-14,S2,1807.6519183168307,1158.7879280115505,3069.706683168316,782.3248504537952
TzM,2023-12-14,S2,,,,
Oran,2023-12-14,S2,1817.7235200082494,1169.342757322607,3078.08187654703,791.3982183374585
TzM,2023-12-14,S2,2290.6073698161504,1258.3483161340748,2726.837690730525,801.7726696043225
Oran,2023-12-16,S2,1921.4497731023096,1203.0979269801971,3122.290944719471,813.1971302599006
TzM,2023-12-16,S2,,,,
Oran,2023-12-16,S2,1929.7335370255762,1216.2070570338274,3128.1223184818473,830.7802831064355
TzM,2023-12-16,S2,2470.586911949613,1361.0866004372497,2920.903487805706,878.7527214852905
Oran,2023-12-19,S2,1864.1964598803627,1203.1861076732669,3132.1214933993374,828.9612726897686
TzM,2023-12-19,S2,,,,
Oran,2023-12-19,S2,1872.459184199669,1209.680228960396,3144.4834725660053,831.3946730610558
TzM,2023-12-19,S2,2241.675426771937,1298.4952366927578,2725.9968735486345,809.6962981003409
Oran,2023-12-21,S2,1901.0417698019799,1240.2955987004948,3239.6712561881177,857.2638588077554
TzM,2023-12-21,S2,,,,
Oran,2023-12-21,S2,1907.4065594059405,1253.3188686056099,3242.515612108084,873.900293935643
TzM,2023-12-21,S2,2406.65938105325,1405.5264219123453,3027.7191574440117,881.4877490682944
Oran,2023-12-24,S2,1878.7949541047844,1221.8571575907588,3186.729347153464,838.2363345709567
TzM,2023-12-24,S2,,,,
Oran,2023-12-24,S2,1887.5845580651812,1217.9813840759075,3199.5383018770617,822.0550355816827
TzM,2023-12-24,S2,2145.00180110785,1300.004111963207,2799.1990280814234,755.1872472501949
Oran,2023-12-26,S2,2014.748981538779,1272.6431647070947,3210.967873349833,875.8328434405939
TzM,2023-12-26,S2,,,,
Oran,2023-12-26,S2,2023.631897174092,1289.1594343028046,3213.2673009488453,899.0989970090751
TzM,2023-12-26,S2,2440.841978273428,1479.9381449721902,2996.256318037131,939.3036395971852
Oran,2024-01-08,S2,1897.9049221328378,1223.302366955445,3183.022599525576,822.7925046410885
TzM,2024-01-08,S2,,,,
Oran,2024-01-08,S2,1910.6777794967004,1241.9044838077552,3186.554674608085,845.5055950907588
TzM,2024-01-08,S2,2187.4792192933764,1357.4746598851357,2687.97103501399,770.2487227993066
Oran,2024-01-23,S2,1651.6538263201314,1089.1846379950491,2948.5998865511538,734.9491027227722
TzM,2024-01-23,S2,,,,
Oran,2024-01-23,S2,1667.1306982260724,1108.062616027227,2948.5722978547838,756.5607982673264
TzM,2024-01-23,S2,1696.16354965507,1097.453675279511,2202.867737514018,643.6140078614392
Oran,2024-01-25,S2,1771.2235844678212,1179.4852903259075,2897.611669760725,853.4477490717819
TzM,2024-01-25,S2,2099.5230405872276,1348.9335572446444,2651.6520860000674,851.3192775178692
Oran,2024-01-28,S2,1855.1954800948845,1301.7511860561053,2956.5383921204607,994.1780889026398
TzM,2024-01-28,S2,2409.2588044721847,1685.8624248122426,2996.46085705547,1175.886230020729
Oran,2024-02-02,S2,1787.6224216171609,1229.5248040429037,3205.919709158415,866.3196163366335
TzM,2024-02-02,S2,,,,
Oran,2024-02-02,S2,1796.8786870874578,1242.4975247524746,3204.2418265264014,881.7852207095709
TzM,2024-02-02,S2,2055.5904405351216,1397.0591873491992,2861.0054939453316,880.7327393830916
Oran,2024-02-04,S2,1898.294850969472,1250.5020369224414,3219.1794425536295,876.5780734323429
TzM,2024-02-04,S2,,,,
Oran,2024-02-04,S2,1905.390766811055,1264.472888304455,3212.666499071781,897.5263381806927
TzM,2024-02-04,S2,2285.938450820694,1493.5038117785653,3026.403510461152,935.9712332491303
Oran,2024-02-07,S2,1904.9427083333321,1297.1314846328378,3314.5552289603947,920.7304687499998
TzM,2024-02-07,S2,,,,
Oran,2024-02-17,S2,1820.9101691419144,1215.8761602722768,3167.654458023925,844.1453821163365
TzM,2024-02-17,S2,,,,
Oran,2024-02-17,S2,1832.5941883250819,1231.5776479991746,3165.4854192450484,862.8351510932343
TzM,2024-02-17,S2,2192.296219939055,1417.1130789882077,2806.3270086883617,901.1184766479001
Oran,2024-02-19,S2,2071.2560849834977,1514.1880285684817,3287.7492007013184,1152.6592151402633
TzM,2024-02-19,S2,,,,
Oran,2024-02-29,S2,2152.5738191006585,1446.5066651196362,3666.1662799092405,990.0729166666666
TzM,2024-02-29,S2,,,,
Oran,2024-02-29,S2,2171.9082095709555,1486.2579156353129,3632.7645034034654,1057.3224912334979
TzM,2024-02-29,S2,2708.111804619444,1760.8169270154845,3488.36571551558,1123.9576456461891
Oran,2024-03-03,S2,2562.58096122112,1684.2577480404289,3617.1703408622093,1244.458513820131
TzM,2024-03-03,S2,5726.08508252245,5194.841157013558,4675.988009605909,4981.415965291859
Oran,2024-03-05,S2,2175.169863861385,1419.6515315594047,3600.4185875618805,974.5484993811876
TzM,2024-03-05,S2,,,,
Oran,2024-03-05,S2,2186.397522174092,1458.0086117986787,3564.805641501648,1047.0668703589104
TzM,2024-03-05,S2,2704.0217718823255,1695.6462352314818,3336.0510427168388,1074.9678689155965
Oran,2024-03-13,S2,2216.012930589933,1487.53260365099,3709.2743270420774,1026.3156585189765
TzM,2024-03-13,S2,,,,
Oran,2024-03-13,S2,2238.2957534034636,1527.767429867986,3666.825301670791,1096.1759875206262
TzM,2024-03-13,S2,2453.0782802251947,1492.293189773332,2938.480034889383,967.3052821169246
