date,site,sm_surface_mean,sm_rootzone_mean,n_obs_surface,n_obs_rootzone
2021-04-24,Oran,0.22294257020608324,0.215977228298539,8,8
2021-04-24,TzM,0.30461040354873004,0.2989272230157726,8,8
2021-04-25,Oran,0.24316238309638422,0.22506127540693907,8,8
2021-04-25,TzM,0.30775235433401044,0.3057551889827377,8,8
2021-04-26,Oran,0.2483407157977096,0.23137709739022563,8,8
2021-04-26,TzM,0.3134120461886356,0.31059615059118517,8,8
2021-04-27,Oran,0.23797617253587866,0.22958880684292704,8,8
2021-04-27,TzM,0.3003891874166009,0.30581860812871076,8,8
2021-04-28,Oran,0.2358598800284452,0.23313405651171676,8,8
2021-04-28,TzM,0.3108798581126489,0.3077452712153133,8,8
2021-04-29,Oran,0.2147288404221906,0.23024175575644262,8,8
2021-04-29,TzM,0.29363883499325694,0.3062504420154973,8,8
2021-04-30,Oran,0.21220671684771286,0.22708771675214412,8,8
2021-04-30,TzM,0.28145907590116714,0.3030337544256135,8,8
2021-05-01,Oran,0.20209203836981388,0.22451329398594916,8,8
2021-05-01,TzM,0.26026312746475205,0.29948028039775393,8,8
2021-05-02,Oran,0.16981719027532902,0.22006547120628786,8,8
2021-05-02,TzM,0.23778868126560387,0.2961222907822383,8,8
2021-05-03,Oran,0.15512716797653767,0.21705970455754972,8,8
2021-05-03,TzM,0.21698687647126216,0.29319014066928306,8,8
2021-05-04,Oran,0.16074583184157237,0.21568783493559868,8,8
2021-05-04,TzM,0.21377795885660145,0.2911702390564115,8,8
2021-05-05,Oran,0.13967273807855413,0.21276039030463967,8,8
2021-05-05,TzM,0.1912368303501831,0.28768683891547353,8,8
2021-05-06,Oran,0.11956742659638647,0.2095090947984183,8,8
2021-05-06,TzM,0.17811813852504677,0.28433594620467995,8,8
2021-05-07,Oran,0.1104288994655257,0.20667849493930573,8,8
2021-05-07,TzM,0.1854920632352954,0.2826811098432364,8,8
2021-05-08,Oran,0.09251956657552324,0.20378707557550216,8,8
2021-05-08,TzM,0.16802392627026783,0.27971938641521293,8,8
2021-05-09,Oran,0.12132055516675355,0.2038406897641596,8,8
2021-05-09,TzM,0.21530035570705014,0.2809937369495042,8,8
2021-05-10,Oran,0.12722598640400853,0.20354745652465545,8,8
2021-05-10,TzM,0.22188688059778586,0.2816722459392622,8,8
2021-05-11,Oran,0.12065285372807352,0.2029356684780023,8,8
2021-05-11,TzM,0.19863428703300945,0.280238309746461,8,8
2021-05-12,Oran,0.11211875422750825,0.20204535291575992,8,8
2021-05-12,TzM,0.18615464980738528,0.2791928673089531,8,8
2021-05-13,Oran,0.09357362793239411,0.200317044030936,8,8
2021-05-13,TzM,0.1758151757898495,0.2779046810158577,8,8
2021-05-14,Oran,0.08215114905453115,0.1986806598293488,8,8
2021-05-14,TzM,0.1680801202310249,0.27654282412320175,8,8
