site,subsystem,n_years,n_syn,n_red,syn_frac,mean_z
JP-Tak,"蒸発制御 Rg,VPD,θ,γLE",21,0,21,0.0,11.012042786958943
JP-Tak,"光合成制御 Rg,Ta,VPD,GEP",21,0,21,0.0,24.258285940878334
JP-Tak,"炭素コア Rg,GEP,GER,NEE",21,1,19,0.047619047619047616,20.62236477414722
JP-Tak,"土壌熱 Ta,Ts,θ,GER",21,11,5,0.5238095238095238,-3.260186123697981
JP-Tak,"エネルギー Rg,Ta,γH,γLE",21,0,21,0.0,18.393699437337247
JP-Tef,"呼吸制御 Rg,Ta,θ,GER",20,17,2,0.85,-6.251156874945183
JP-Tef,"蒸発制御 Rg,VPD,θ,γLE",20,0,20,0.0,30.366019712211965
JP-Tef,"光合成制御 Rg,Ta,VPD,GEP",20,0,20,0.0,21.352629349154906
JP-Tef,"炭素コア Rg,GEP,GER,NEE",20,0,19,0.0,18.858888835038222
JP-Tef,"土壌熱 Ta,Ts,θ,GER",20,5,11,0.25,7.441767167158487
JP-Tef,"エネルギー Rg,Ta,γH,γLE",20,0,20,0.0,36.63168928699868
JP-Tgf,"呼吸制御 Rg,Ta,θ,GER",2,1,1,0.5,2.4352178276305536
JP-Tgf,"蒸発制御 Rg,VPD,θ,γLE",2,0,2,0.0,14.998350411410577
JP-Tgf,"光合成制御 Rg,Ta,VPD,GEP",2,0,2,0.0,30.929274186135785
JP-Tgf,"炭素コア Rg,GEP,GER,NEE",2,0,2,0.0,18.989236268714606
JP-Tgf,"土壌熱 Ta,Ts,θ,GER",2,2,0,1.0,-7.803291407389594
JP-Tgf,"エネルギー Rg,Ta,γH,γLE",2,0,2,0.0,7.542359900042938
JP-Tmd,"呼吸制御 Rg,Ta,θ,GER",18,9,4,0.5,-3.7710691409234918
JP-Tmd,"蒸発制御 Rg,VPD,θ,γLE",18,0,18,0.0,31.549864452511265
JP-Tmd,"光合成制御 Rg,Ta,VPD,GEP",18,0,18,0.0,37.210434489471695
JP-Tmd,"炭素コア Rg,GEP,GER,NEE",18,0,18,0.0,28.889136297345985
JP-Tmd,"土壌熱 Ta,Ts,θ,GER",18,5,11,0.2777777777777778,2.326636587909233
JP-Tmd,"エネルギー Rg,Ta,γH,γLE",18,0,18,0.0,54.03439211575221
JP-Tmk,"呼吸制御 Rg,Ta,θ,GER",2,2,0,1.0,-6.592275953149601
JP-Tmk,"蒸発制御 Rg,VPD,θ,γLE",2,0,2,0.0,26.828874768648802
JP-Tmk,"光合成制御 Rg,Ta,VPD,GEP",2,0,2,0.0,43.489661449318014
JP-Tmk,"炭素コア Rg,GEP,GER,NEE",2,0,2,0.0,47.151481448368685
JP-Tmk,"土壌熱 Ta,Ts,θ,GER",2,2,0,1.0,-6.9355245278027216
JP-Tmk,"エネルギー Rg,Ta,γH,γLE",2,0,2,0.0,48.75207837694333
JP-Yms,"呼吸制御 Rg,Ta,θ,GER",6,4,0,0.6666666666666666,-5.419927080605437
JP-Yms,"蒸発制御 Rg,VPD,θ,γLE",6,0,6,0.0,8.222606254929078
JP-Yms,"光合成制御 Rg,Ta,VPD,GEP",6,0,6,0.0,24.166232270872502
JP-Yms,"炭素コア Rg,GEP,GER,NEE",6,0,6,0.0,12.8470091938724
JP-Yms,"土壌熱 Ta,Ts,θ,GER",6,2,2,0.3333333333333333,0.908247486710475
