date,SWC,LE,H,G,Rn,VPD,ET,EF,Irrig_mm,Rain_mm,IrrigRain_mm,GPP_avg,NDVI_orig,NDVI_interp,Fv_interp,site,NDVI
2023-08-26,15.570602272727271,297.7947,-74.51915134166667,5.114474189544645,249.4454416666667,3.61267,5.3344555,1.2188168494355263,12.60948,0.0,12.60948,0.0001578147572586,,0.464,0.5205266661095348,Tarazona,0.4238
2023-08-27,15.44814444444444,310.3833666666667,126.6420788888889,2.36482568017762,403.7223722222222,1.40677,4.110284,0.773333825016673,0.0,0.0,0.0,0.0001754888806669,,0.472,0.5176154406009508,Tarazona,0.4238
2023-08-28,15.281140625,301.4523277777778,126.1597895555556,39.27168644711092,419.0704833333334,2.02328,4.00210795,0.7937158575783609,0.0,0.0,0.0,0.000166277272937,0.48,0.48,0.5154680819541682,Tarazona,0.4238
2023-08-29,15.079233333333331,222.5419592307692,106.9055773076923,36.45039356862997,348.8068961538461,1.88459,4.26695055,0.7124614259312755,0.0,0.0,0.0,0.0001532804388408,,0.4866666666666666,0.5133345458695354,Tarazona,0.4238
2023-08-30,15.19871111111111,342.1018666666667,38.51503866666667,57.54389278803231,387.7439533333333,2.49668,3.7905405,1.0360442275561996,11.7,0.0,11.7,0.0001789160001356,,0.4933333333333333,0.510886340505547,Tarazona,0.4238
2023-08-31,15.52925925925925,299.7193588888889,46.79955500000001,32.70942690891674,407.7689777777778,3.35142,4.00207075,0.799124720846491,0.0,0.0,0.0,0.0001450995630676,0.5,0.5,0.5078461098105267,Tarazona,0.4238
2023-09-01,15.22098999999999,267.9814470588235,21.30326352941177,23.85265799999994,322.2363176470589,2.24398,3.37513135,0.8981103300891325,0.0,0.0,0.0,0.0001378181859269,,0.49,0.5057287313094413,Tarazona,0.4238
2023-09-02,,187.5994333333333,32.36308954545454,12.82484460317439,295.6726109090909,1.87066,2.9621465,0.6632523062969268,0.0,2.286,2.286,5.687417924874423e-05,,0.48,0.5035608970118981,Tarazona,0.4238
2023-09-04,24.9700037037037,187.8787411764706,24.96559117647059,38.17515694141578,272.4242607647059,1.16279,2.3550466,0.8020467874156745,0.0,0.0,0.0,8.577441250771449e-05,,0.46,0.4974357719291692,Tarazona,0.44195
2023-09-05,21.822307692307692,243.9890857142857,54.91233333333334,42.22830595791799,386.1496823809524,1.96344,3.7852568,0.7094327437622581,0.0,0.0,0.0,0.0001154227608012,0.45,0.45,0.4953254580927583,Tarazona,0.44195
2023-09-06,18.15856428571428,246.1374111111111,61.57513777777778,43.27723509074982,388.7667944444444,2.07473,3.2723837,0.7124308230082524,0.0,0.0,0.0,0.000149755937763,,0.43,0.4920139550896628,Tarazona,0.44195
2023-09-07,17.154647916666647,172.0853846153846,62.30007346153846,38.14302369166214,320.8225769230769,2.78716,3.33882435,0.6087648811108296,0.0,0.0,0.0,0.0001229594495579,0.41,0.41,0.4898108093960521,Tarazona,0.44195
2023-09-08,16.61693958333333,159.0546966666667,103.3872291666667,33.64781348090992,362.4601404166667,2.75288,2.82327195,0.48372485955413325,0.0,0.0,0.0,0.000118852668345,,0.4366666666666666,0.4869930994270059,Tarazona,0.44195
2023-09-09,16.2460375,139.9466195833333,81.67249583333333,26.7039205836823,315.3017666666667,3.29001,2.16831625,0.48491914088330573,0.0,0.0,0.0,0.0001160314139324,,0.4633333333333333,0.4841351163728784,Tarazona,0.4601
2023-09-10,16.07857872340425,192.9938181818182,63.49168181818182,25.99099570580096,327.3402136363636,3.00098,3.13675785,0.6404324507863436,18.84948,0.0,18.84948,0.0001270654485862,0.49,0.49,0.4812466774849182,Tarazona,0.4601
2023-09-11,16.31451041666666,189.9116,61.69713,27.19922269151513,309.41135,2.2200100000000003,3.37227765,0.6729391887273802,0.0,0.0,0.0,0.0001229211762051,,0.488,0.4782988960505463,Tarazona,0.4601
2023-09-12,16.34403571428571,48.25275,-34.0133,,-41.9835,1.49174,0.07103435,,0.0,0.0,0.0,3.324321011452931e-05,,0.486,0.4745610826648772,Tarazona,0.4601
2023-09-13,16.17555151515151,179.0878473684211,65.06910894736842,53.78116385730839,329.6995105263158,2.2190700000000003,2.51076695,0.6490610339270244,0.0,0.0,0.0,0.0001332369194346,,0.484,0.4725480355943243,Tarazona,0.4601
2023-09-15,28.90297222222223,88.0740575,-24.92458,,36.74558,1.68471,0.25827923,,0.0,32.766,32.766,5.657879276827214e-05,0.48,0.48,0.4651750419806275,Tarazona,0.4601
2023-09-16,28.142004999999997,120.6189166666667,37.02941083333333,38.73349699284433,219.8408641666667,1.3211700000000002,1.0654169,0.6660077861487526,0.0,0.0,0.0,6.592039306677477e-05,,,0.4623036201577634,Tarazona,0.4601
2023-09-17,26.05946428571429,170.7670726086957,54.69082652173913,32.14058037189425,287.1349418695652,1.70428,2.9757599,0.6696896025689394,0.0,0.0,0.0,9.109743812119184e-05,0.46,,0.4596769035394703,Tarazona,0.4601
2023-09-18,22.78444545454545,251.5157166666667,38.61153083333333,5.000082645374012,310.4851916666667,1.85968,2.2202843,0.8233321665742329,0.0,0.0,0.0,0.0001058467643581,,,0.4564534389304326,Tarazona,0.4601
2024-04-30,15.54576249999999,193.250856,92.6757208,36.89043580919097,321.367852,1.74796,3.48548835,0.6793187965064328,0.0,0.0,0.0,0.0001607730770201,,,0.361045292733858,Tarazona,0.43224999999999997
2024-05-01,15.487706249999999,140.7835769230769,137.2878030769231,18.31335045382893,310.71705,2.98868,2.664755,0.4814698895451114,0.0,0.0,0.0,0.0001856784525374,,,0.3626410603368034,Tarazona,0.43224999999999997
2024-05-02,15.345760416666671,137.7880518518519,175.1366814814815,26.4128559609068,377.0421974074074,1.4082,2.71218369,0.39297353519649963,0.0,0.0,0.0,0.0001734178957402,,,0.364225451524059,Tarazona,0.43224999999999997
2024-05-03,15.437358333333329,144.5903633333333,155.97761,34.31966336055554,401.64621,3.55902,2.855658125,0.3936289512863833,0.0,0.0,0.0,0.000174359009191,,,0.365798187480929,Tarazona,0.3621
2024-05-04,15.670622916666671,167.0840961538462,121.6762153846154,49.83243727783594,415.1324461538462,4.29716,3.1927582,0.45738869995636294,13.0,0.0,13.0,0.0001620436710851,,,0.3673589900135994,Tarazona,0.3621
2024-05-05,15.82916458333333,151.6248961538462,63.56931269230769,39.13784210294443,330.0637538461538,4.229640000000001,2.89671785,0.5211804450326186,0.0,0.0,0.0,0.0001870325001182,,,0.3689075798417131,Tarazona,0.3621
2024-05-06,15.820899999999998,160.4861923076923,85.789075,41.91914548620524,302.0050973076923,2.3583000000000003,2.8799533,0.6170505987876032,0.0,0.0,0.0,0.0001948288978226,,,0.3704436789654816,Tarazona,0.3621
2024-05-07,15.737495833333329,168.1574666666667,117.255062962963,40.95207577379549,409.6866037037037,0.716964,3.3358639,0.45603938315923404,0.0,0.0,0.0,0.0001871376557001,0.59,,0.371967009229896,Tarazona,0.3621
2024-05-10,15.68333191489362,225.2935789473684,77.9198847368421,51.07243410165442,449.9473,0.045146,2.8860672,0.5648227005729288,2.8,0.0,2.8,0.000149085063865,,,0.3764575988364716,Tarazona,0.3621
2024-05-11,15.695833333333331,177.4737571428572,33.41314642857143,45.39295983566675,299.7841928571428,0.668356,3.5654621,0.6976410115826384,12.6,0.0,12.6,0.0001709621693067,,,0.3779270665642495,Tarazona,0.3621
2024-05-12,15.7457625,213.4623692307692,56.98364807692307,51.6525533585372,418.0833846153846,2.99925,4.093303,0.5825447834141011,0.0,0.0,0.0,0.0001915456718722,0.58,,0.3793823726397629,Tarazona,0.3621
2024-05-13,15.79583333333332,193.6869475,30.69261035714286,33.93559847256416,339.0123321428571,4.14229,3.99762165,0.6348794454752628,0.0,0.0,0.0,0.0001738846560495,,,0.3808232384423415,Tarazona,0.3621
2024-05-14,15.725206250000001,220.5269076923077,139.8752867857143,24.28275588278193,394.2306156071429,3.68846,4.17850015,0.596102672026855,0.0,0.0,0.0,0.0001983179931777,0.58,0.58,0.382249385661756,Tarazona,0.434
2024-05-15,15.40846875,155.684562962963,169.4047918518519,35.26147468247845,410.0279407407407,4.33915,3.0762451,0.4154175388220563,0.0,0.0,0.0,0.0001902627524924,,0.58,0.3836605348236238,Tarazona,0.434
2024-05-16,15.046108333333342,88.21672111111111,126.6474588888889,14.8446931006419,246.5137444444445,4.45336,0.57812232,0.38078768225366155,0.0,0.0,0.0,0.0001643788665967,,0.58,0.3850564086654534,Tarazona,0.434
2024-05-19,15.29965416666666,196.53313125,91.56195,24.417159614254,373.134625,0.614401,2.15612895,0.5635884369387636,0.0,0.0,0.0,0.0001566962709697,0.56,0.56,0.3891495896192889,Tarazona,0.5059
2024-05-20,15.331318749999989,143.45106,111.5751642857143,18.15944613653355,344.3054035714286,3.30051,2.893630135,0.43983700159348316,0.0,0.0,0.0,0.0001758123969857,,0.556,0.3904815744220589,Tarazona,0.5059
2024-05-21,15.24489148936169,132.9803884615385,98.9381296153846,16.78620426200969,321.1717884615385,3.85338,2.5360005,0.4368813615508416,0.12948,0.0,0.12948,0.000167943217062,,0.552,0.391789045363189,Tarazona,0.5059
2024-05-22,15.249929166666659,178.1421257142857,121.6312863214286,28.9910609784358,400.9139285714286,4.04729,3.6625212,0.4789759953916907,11.04948,0.0,11.04948,0.0001973802078097,,0.548,0.3930952607964476,Tarazona,0.5059
2024-05-23,15.36242708333334,187.9093642857143,64.67126964285714,45.20286298776057,369.3542142857143,3.75895,3.87443415,0.5796963780446857,0.0,0.0,0.0,0.0001993187242061,,0.544,0.3943764051267256,Tarazona,0.5059
2024-05-24,15.462427083333319,196.2374418518519,89.47648214285714,40.00661327646217,414.0053071428571,4.39139,3.90666725,0.5247008748163026,0.0,0.0,0.0,0.0001691547513769,0.54,0.54,0.395640045326824,Tarazona,0.5059
2024-05-25,15.529095833333331,230.5602123928571,63.40482814285714,36.70583066190741,409.6536214285714,2.53398,4.7728685,0.6182104254295151,17.03052,0.0,17.03052,0.0001733484115781,,0.536,0.3968859030477082,Tarazona,0.5059
2024-05-26,15.654093749999989,241.46109,32.96759571428571,36.41478539824082,404.5496285714286,2.58256,5.01584553,0.6559039288938088,0.0,0.0,0.0,0.0001829886105297,,0.532,0.3981136995522926,Tarazona,0.5059
2024-05-27,15.55231739130434,159.924115,94.02013083333333,50.17218817338282,323.92975,1.45136,1.41948903,0.5841815434537185,0.0,0.0,0.0,0.0002334667870354,,0.528,0.3990251898455123,Tarazona,0.5059
2024-05-29,16.05772727272727,317.9147533333334,-7.81872,30.03073308652969,406.4423133333333,1.0234,3.541014,0.8445934450924296,11.04948,0.0,11.04948,0.0001523883931821,0.52,0.52,0.4019765401414285,Tarazona,0.5059
2024-05-30,15.933331249999998,294.2692642857143,-0.5066085714285716,43.53809652963551,420.9483071428571,2.91099,6.10796395,0.7797066852207876,1.68948,0.0,1.68948,0.0001754615586702,,0.488,0.4028387059224769,Tarazona,0.49145
2024-05-31,15.88347083333333,225.164537037037,85.55654777777778,40.73902018639296,429.1657407407407,3.92533,4.3704601,0.5796834386565651,9.75,0.0,9.75,0.0002144460533816,,0.456,0.4039720197518666,Tarazona,0.49145
2024-06-01,15.74589999999999,175.9708596428571,90.34086107142858,35.21537073149192,359.0255464285714,5.37357,3.7051522,0.5434383254449537,15.08052,0.0,15.08052,0.0002009281406025,,0.424,0.4050856016110629,Tarazona,0.49145
2024-06-02,15.658331249999998,202.3852260714286,102.258525,30.95856640837332,427.7027964285714,6.30815,4.173516605,0.5101151088224403,0.0,0.0,0.0,0.0001857403119804,,0.392,0.4061791729958107,Tarazona,0.49145
2024-06-03,15.64977708333333,217.5188545454545,99.8021295652174,34.35687877811117,448.7819769565218,4.8628,3.52090005,0.5248689220357313,0.0,3.048,3.048,0.0001937984551076,0.36,0.36,0.4072524548973888,Tarazona,0.49145
2024-06-06,16.03389787234041,228.7388888888889,-50.32341555555556,14.32811549211128,211.2381444444445,0.173565,1.52823975,1.1616416396153222,10.65948,0.0,10.65948,9.893350434020698e-05,,0.384,0.4103477813381081,Tarazona,0.477
2024-06-07,16.033402083333332,275.2293,-3.058378571428571,45.9696546308253,362.6257179642857,5.5298,5.6906095,0.8691742615083445,0.0,0.0,0.0,0.0002013148583826,,0.392,0.4113371215838318,Tarazona,0.477
2024-06-08,16.35097291666666,213.7625047619048,55.47967143478261,46.36095521418352,353.1615913043478,4.74727,3.30586045,0.6967472671702124,0.0,10.922,10.922,0.0002104597547744,0.4,0.4,0.4123047804071878,Tarazona,0.477
2024-06-09,25.141527083333333,216.0520535714286,62.5113425,22.79259970134978,320.7346692857143,4.86698,4.4426646,0.72514785801423,0.0,1.27,1.27,0.0001149543628665,,0.4320000000000001,0.4132504790710906,Tarazona,0.477
2024-06-10,22.476589583333332,185.956064,33.08055857142857,20.85692855303683,255.5692453571428,5.11457,3.3880247,0.7922722869085793,0.0,4.318,4.318,0.0002021698660792,,0.464,0.414173938605624,Tarazona,0.477
2024-06-11,20.580902083333342,238.205748,46.50419571428571,27.37149402148145,313.7878476071429,4.983899999999999,4.38302405,0.8316764912962883,0.0,0.0,0.0,0.0001394090204489,,0.4960000000000001,0.4150748813214402,Tarazona,0.477
