date,SWC,LE,H,G,Rn,VPD,ET,EF,site,NDVI,GPP_proxy,phen
2023-05-01,16.078958333333322,210.96055,97.02556269230767,37.57422614235766,405.27855,3.66987,3.8601455,0.5737233323415417,Tarazona,0.4118,166.89370689,non_growing
2023-05-03,16.278653191489358,159.74522,34.89619266666666,19.78332520885936,288.94302,3.10295,1.76788115,0.5934960660583198,Tarazona,0.4118,118.98673563599999,non_growing
2023-05-04,15.9707625,178.5845111111111,68.98819037037038,56.09738908111951,338.1088740740741,2.97106,3.5496622,0.6332526177633249,Tarazona,0.3573,120.80630070666668,non_growing
2023-05-05,15.99159583333333,208.1461143928571,75.40061592857143,41.43313339333339,377.3237703571428,4.158390000000001,4.302970115,0.6196841813583623,Tarazona,0.3573,134.81778314860713,non_growing
2023-05-06,16.07506666666666,216.9789623076923,50.53796461538462,39.36806421045399,379.5743115384615,4.08432,4.16326893,0.6377865309995133,Tarazona,0.3573,135.6219015126923,non_growing
2023-05-07,15.929235416666659,225.8326307692308,64.71504807692308,26.20170282071507,374.5055384615384,2.71624,4.32218955,0.6483782481284908,Tarazona,0.3573,133.81082889230765,non_growing
2023-05-08,15.84963055555555,260.0979279166667,71.10514375,55.04530749197891,427.7178041666667,3.40542,4.605030075,0.6979262763887581,Tarazona,0.3573,152.82357142875003,non_growing
2023-05-10,16.400000000000002,,117.874,31.86666666666666,151.5,1.16581,0.0,,Tarazona,0.3573,54.13095,non_growing
2023-06-02,26.041992000000004,236.1434105263158,75.51832315789474,60.62104926271645,385.2803,1.84242,3.2946294,0.7273577142497769,Tarazona,0.5581499999999999,215.04419944499998,growing
2023-06-03,24.95110208333332,189.0003379310345,66.6792475862069,50.03067680427981,344.8045724137931,1.86085,4.0293252,0.6411705403568133,Tarazona,0.5581499999999999,192.4526720927586,growing
2023-06-04,23.234575,196.1748810714286,63.74023142857143,44.40523948851536,354.4651892857143,2.42423,4.039380025,0.6326998414330544,Tarazona,0.5581499999999999,197.84474539982142,growing
2023-06-05,21.53715531914893,218.8119275909091,59.95677208333333,46.17841447076052,366.4148220833333,2.22265,3.660756643,0.6832824825328147,Tarazona,0.5635,206.47475224395833,growing
