site,date,is_growing,H,LE,LE_corr,H_corr,G,ET,VPD,SWC_mean,GPP_proxy,EF_corr,Bowen_corr,swc_th,vpd_th,drought_type,Irrig_mm,Rain_mm,IrrigRain_mm,days_since_irrig,bucket
Tarazona,2020-09-01,True,19.31397444375,32.69309605625,46.05895362516466,27.210070642796577,-2.081051105208387,1.54196508,846.69948125,0.11775000000000001,2.13574773125,0.6286279104347936,0.5907661486241439,0.16060555555555556,1224.035170736434,soil dry,0.0,0.0,0.0,6.0,4-7d (中期)
Tarazona,2020-09-02,True,51.7016309375,43.889697500000004,61.83304078319461,72.83871241801369,9.609103734722307,2.074984791,1028.446159375,0.1168125,2.27691959375,0.4591389011681763,1.1779901407955706,0.16060555555555556,1224.035170736434,soil dry,0.0,0.0,0.0,7.0,4-7d (中期)
Tarazona,2020-09-03,True,54.72687203125,47.00783230625,66.22595683467469,77.10075719352939,6.7627187292013335,2.2232970102,1145.872846875,0.114875,1.9955363312499999,0.46206289793012784,1.1642075234337854,0.16060555555555556,1224.035170736434,soil dry,0.0,0.0,0.0,8.0,8+d (長期)
Tarazona,2020-09-04,True,56.995952612903224,41.88027490322581,59.00210968878432,80.2975017631569,4.273761751612922,1.916814642,1124.2211548387097,0.11274193548387097,2.0117848741935482,0.42356262931243155,1.3609259429315053,0.16060555555555556,1224.035170736434,soil dry,0.0,0.0,0.0,9.0,8+d (長期)
Tarazona,2020-09-05,True,32.70221870967742,72.48744541935484,102.12235272035224,46.071805876001626,5.394877322222033,3.32266199,1248.0096741935483,0.30406451612903224,2.1254367612903224,0.6891118630290252,0.4511432085996179,0.16060555555555556,1224.035170736434,atm dry,12.74052,0.0,12.74052,0.0,0-1d (直後)
Tarazona,2020-09-06,True,32.25764875,72.314401625,101.87856375384997,45.44548320773267,6.046643732291688,3.4215634889,1306.1356465625,0.21784375,2.68011746875,0.6915270511162147,0.44607502828106266,0.16060555555555556,1224.035170736434,atm dry,0.0,0.0,0.0,1.0,0-1d (直後)
Tarazona,2020-09-07,True,46.2604475,60.19186921875,84.79999900249223,65.1730200901096,1.9726711836804292,2.840414751,762.722425,0.18075,3.2913475937500003,0.5654350330183853,0.7685497742540564,0.16060555555555556,1224.035170736434,normal,0.0,0.0,0.0,2.0,2-3d (短期)
Tarazona,2020-09-08,True,44.8112234375,50.55115284375,71.21788650799195,63.13131245335614,-2.4479725685416365,2.378261303,754.068628125,0.1555625,2.8218493156249997,0.5300953564187691,0.8864530464024883,0.16060555555555556,1224.035170736434,soil dry,0.0,0.0,0.0,3.0,2-3d (短期)
Tarazona,2020-09-09,True,41.47244765,61.27350046875,86.32383154186272,58.427551179211335,6.194230988194534,2.891676275,1094.707,0.14103125,3.329517625,0.5963592880366664,0.6768414948179972,0.16060555555555556,1224.035170736434,soil dry,0.0,0.0,0.0,4.0,4-7d (中期)
Tarazona,2020-09-10,True,35.10066336451613,47.744690935483874,67.26406400487942,49.450802191911,5.491825221505217,2.185352085,1018.9546741935484,0.133,2.3886398687096775,0.5763110235800376,0.7351741665255876,0.16060555555555556,1224.035170736434,soil dry,0.0,0.0,0.0,5.0,4-7d (中期)
Tarazona,2020-09-11,True,35.549409375,66.4329970625,93.59267551833572,50.0830081980596,7.091284023611049,3.146403459,1442.413375,0.1284375,2.7060145156249997,0.6514162528927332,0.5351167484067474,0.16060555555555556,1224.035170736434,compound,0.0,0.0,0.0,6.0,4-7d (中期)
Tarazona,2020-09-12,True,31.446890000000003,55.54297078125,78.25050007548624,44.30326346802994,6.980070561458353,2.62868279,1545.331,0.1254375,1.79519478125,0.6384993639767023,0.5661722727048609,0.16060555555555556,1224.035170736434,compound,0.0,0.0,0.0,7.0,4-7d (中期)
Tarazona,2020-09-13,True,23.46205375,71.41367403125,100.6095933755763,33.05400148591259,4.000982480208337,3.378349069,1219.41613125,0.30903125,2.09447571875,0.7527075227913378,0.32853727340415523,0.16060555555555556,1224.035170736434,normal,12.99948,0.0,12.99948,0.0,0-1d (直後)
Tarazona,2020-09-14,True,11.966202258064516,72.43308838709677,102.04577300383752,16.858322439858664,5.770693081648692,3.3136552200000002,1140.0228258064517,0.3255806451612903,1.6159238387096773,0.8582191607702742,0.1652035350766042,0.16060555555555556,1224.035170736434,normal,12.99948,0.0,12.99948,0.0,0-1d (直後)
Tarazona,2020-09-15,True,19.0688831875,65.799436125,92.70009704278172,26.86477918474288,7.850255853819379,3.109670029,942.8278125,0.327375,1.972779090625,0.7753121147917984,0.28980313982135963,0.16060555555555556,1224.035170736434,normal,12.99948,0.0,12.99948,0.0,0-1d (直後)
Tarazona,2020-09-16,True,9.996428125,82.32616103125,115.98341211098865,14.083249216730161,4.587585760069408,3.895418018,1116.185728125,0.29815625,2.07567778125,0.8917228360214022,0.12142468444757772,0.16060555555555556,1224.035170736434,normal,7.14948,0.0,7.14948,0.0,0-1d (直後)
Tarazona,2020-09-17,True,1.3191103333333334,55.52617333333333,78.2268353582235,1.8583997540318762,2.182076139259294,2.4533638,715.7753873333334,0.23090000000000002,1.6031993666666666,0.9767947268753477,0.023756550364356702,0.16060555555555556,1224.035170736434,normal,0.0,0.508,0.508,1.0,0-1d (直後)
Tarazona,2020-09-18,True,17.1477575,68.4684695,96.46030636133723,24.15824326057001,-3.3699096861666376,2.00827087,132.305915,0.22694999999999999,1.59700665,0.7997136979652233,0.25044750708207375,0.16060555555555556,1224.035170736434,normal,0.0,15.748,15.748,2.0,2-3d (短期)
Tarazona,2020-09-19,True,-1.0736633333333334,19.6414935,27.6714887048003,-1.5126071141734496,-11.284887679259421,0.172191688,22.194166666666664,0.25266666666666665,-3.008545,1.0578238449886725,-0.05466301904859389,0.16060555555555556,1224.035170736434,normal,0.0,0.0,0.0,3.0,2-3d (短期)
Tarazona,2020-09-20,True,19.169799,59.81668095,84.2714232126273,27.006952220908868,-27.223662516222372,1.75698924,346.29720499999996,0.2287,-0.31339305,0.7573027812844063,0.3204758053363708,0.16060555555555556,1224.035170736434,normal,0.0,0.0,0.0,4.0,4-7d (中期)
Tarazona,2020-09-21,True,3.0354737500000004,15.751912625000001,22.19173772512201,4.276460829561808,-34.71368040120831,0.370106031,106.5865,0.2099375,-0.816864324375,0.8384302270996435,0.19270509063022445,0.16060555555555556,1224.035170736434,normal,0.0,0.0,0.0,5.0,4-7d (中期)
Tarazona,2020-09-22,True,0.4831062499999999,9.926300566666667,13.984451539337854,0.6806136783892439,-20.381817596018504,0.1741644447,97.66586666666666,0.19566666666666666,-0.42643633333333336,0.9535894543744327,0.048669315094317246,0.16060555555555556,1224.035170736434,normal,0.0,0.0,0.0,6.0,4-7d (中期)
Tarazona,2020-09-29,True,32.4800356,58.960196720000006,83.06478413010109,45.758788059416744,15.03982782613332,2.17301397,1040.8814479999999,0.28912,2.16800816,0.6447949138368942,0.550880719653067,0.16060555555555556,1224.035170736434,normal,9.48948,0.0,9.48948,0.0,0-1d (直後)
Tarazona,2020-09-30,True,12.066732129032257,62.865742,88.5670262127414,16.999951750734585,-2.0092844250896835,2.87112735,956.7255870967742,0.23474193548387098,2.3224060967741935,0.8389652514575513,0.19194447953914642,0.16060555555555556,1224.035170736434,normal,0.0,0.0,0.0,1.0,0-1d (直後)
Tarazona,2020-10-01,True,2.2893524999999992,63.1392803125,88.95239468406838,3.2253042185950007,1.353990769895872,2.96963241,947.380625,0.20728125,1.115155671875,0.9650099291152753,0.036258767738072614,0.16060555555555556,1224.035170736434,normal,0.0,0.0,0.0,2.0,2-3d (短期)
Tarazona,2020-10-02,True,2.4925946153846144,61.95586,87.28515884936085,3.511637429468458,-16.755718247863175,2.34364097,234.2518423076923,0.2215769230769231,-0.5023570384615385,0.9613242143623161,0.040231781390567656,0.16060555555555556,1224.035170736434,normal,0.0,0.0,0.0,3.0,2-3d (短期)
